"Componente_ID","Fila_Alcance_Origen","Bloque","Frente","Metadata_Tipo","Objeto","Componente_API","Componente_Label","Estado_Git","Estado_Partial","Coincide_Git_Partial","Estado_Activo","Asignacion_Actual","RecordType_Relacionado","Referencia_Empresa_Marca","Aplica_PEKING","Exclusivo_Usados","Comportamiento_Actual","Accion_Potencial","Clasificacion","Dependencia","Bloqueo","Responsable_Definicion","Evidencia_Encontrada","Evidencia_Requerida","Prueba_Positiva_Requerida","Prueba_Negativa_Requerida","Nivel_Confianza","Notas"
"S3-0-B7-LAY-001","S3C-B07-01","7","Layouts","Layout","Opportunity","Opportunity-BMW Opportunity Layout","BMW Opportunity Layout","NO_EXISTE","EXISTE","NO_COMPARABLE","SIN_ESTADO_PROPIO","Pendiente de evidencia; el Layout no contiene su asignación","Pendiente de matriz de asignaciones","Campos relevantes: empresaQueFactura__c, Pricebook2Id, RecordTypeId","Sí","No","Expone 80 campos; contenido recuperado individualmente","Validar contenido y asignación antes de proponer cambio","PENDIENTE_EVIDENCIA","Record Types y asignaciones de página/layout","Asignación exacta no versionada","Equipo técnico","List Metadata y retrieve temporal de Partial 2026-08-06","Asignación por Record Type/perfil y captura QA","Abrir registro aplicable y verificar campos/acciones","Verificar que otra Empresa o VU no reciba exposición indebida","ALTO","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-LAY-002","S3C-B07-02","7","Layouts","Layout","Account","Account-BMW Cuenta Empresarial  V2","BMW Cuenta Empresarial V2","NO_EXISTE","EXISTE","NO_COMPARABLE","SIN_ESTADO_PROPIO","Pendiente de evidencia; el Layout no contiene su asignación","Pendiente de matriz de asignaciones","Campos relevantes: CorreoElectronicoEmpresarial__c, RecordTypeId, CorreoElectronicoEmpresarial__c, RecordTypeId","Por determinar","No","Expone 64 campos; contenido recuperado individualmente","Validar contenido y asignación antes de proponer cambio","BLOQUEADO_NEGOCIO","Modelo Account por Empresa","No se confirmó variante PEKING ni asignación","Negocio","List Metadata y retrieve temporal de Partial 2026-08-06","Asignación por Record Type/perfil y captura QA","Abrir registro aplicable y verificar campos/acciones","Verificar que otra Empresa o VU no reciba exposición indebida","ALTO","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-LAY-003","S3C-B07-03","7","Layouts","Layout","Product2","Product2-VehiculosParaV2","VehiculosParaV2","NO_EXISTE","EXISTE","NO_COMPARABLE","SIN_ESTADO_PROPIO","Pendiente de evidencia; el Layout no contiene su asignación","Pendiente de matriz de asignaciones","Campos relevantes: Marca__c, Empresa__c, RecordTypeId, cantidadInventario__c, cantidadDisponible__c","Sí","No","Expone 47 campos; contenido recuperado individualmente","Validar contenido y asignación antes de proponer cambio","SOLO_VALIDACION","Campos Product2 y Record Types","QA positivo sin datos oficiales","QA","List Metadata y retrieve temporal de Partial 2026-08-06","Asignación por Record Type/perfil y captura QA","Abrir registro aplicable y verificar campos/acciones","Verificar que otra Empresa o VU no reciba exposición indebida","ALTO","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-LAY-004","S3C-B07-03","7","Layouts","Layout","Product2","Product2-Product Layout V1.1","Product Layout V1.1","NO_EXISTE","EXISTE","NO_COMPARABLE","SIN_ESTADO_PROPIO","Pendiente de evidencia; el Layout no contiene su asignación","Pendiente de matriz de asignaciones","Campos relevantes: RecordTypeId, Marca__c","Por determinar","No","Expone 27 campos; contenido recuperado individualmente","Validar contenido y asignación antes de proponer cambio","PENDIENTE_EVIDENCIA","Asignación de Record Type Product2","Asignación exacta pendiente","Equipo técnico","List Metadata y retrieve temporal de Partial 2026-08-06","Asignación por Record Type/perfil y captura QA","Abrir registro aplicable y verificar campos/acciones","Verificar que otra Empresa o VU no reciba exposición indebida","ALTO","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-FLX-001","S3C-B07-04","7","FlexiPages","FlexiPage","Opportunity","Opportunity_Record_Page_VN","Opportunity Record Page VN","EXISTE","EXISTE","NO","ASIGNACION_ACTIVA_NO_DEMOSTRADA","RecordPage/AppPage recuperada; asignación por app/perfil no disponible en el artefacto","BMW, Jaecoo, Kawasaki, MINI, Motorrad, Omoda, Polaris","Reglas de visibilidad y componentes: cT_oppChangeData_lwc, expedienteFacturacionPanel, flexipage:column, flexipage:fieldSection, flexipage:tab, flexipage:tabset, flowruntime:interview, force:highlightsPanel, force:recordDetailPanelMobile, force:relatedListContainer, force:relatedListSingleContainer, runtime_sales_activities:activityPanel, runtime_sales_pathassistant:pathAssistant","Sí","No","Partial contiene una Quick Action adicional frente a Git.","Conciliar drift y asignaciones; no modificar en S3-0","DRIFT_GIT_PARTIAL","Asignaciones Lightning y criterio funcional","Asignación activa o decisión funcional pendiente","Equipo técnico / negocio","Tooling API, List Metadata, retrieve temporal y comparación semántica 2026-08-06","Activación por aplicación, Record Type y perfil; QA visual","Abrir la página con Record Type aplicable","Comprobar separación VN/VU y no cruce entre Empresas","ALTO","Partial contiene una Quick Action adicional frente a Git. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-FLX-002","S3C-B07-05","7","FlexiPages","FlexiPage","Quote","Quote_Record_Page_VN","Quote Record Page VN","NO_EXISTE","EXISTE","NO_COMPARABLE","ASIGNACION_ACTIVA_NO_DEMOSTRADA","RecordPage/AppPage recuperada; asignación por app/perfil no disponible en el artefacto","Kawasaki, Motorrad, Otobai, Polaris","Reglas de visibilidad y componentes: addExtraProduct, flexipage:tab, flexipage:tabset, flowruntime:interview, force:detailPanel, force:highlightsPanel, force:relatedListContainer, rm_vn_sync_quote, runtime_sales_activities:activityPanel, runtime_sales_pathassistant:pathAssistant","Sí","No","Visibilidad existente contempla segmentos legacy; modelo Quote PEKING no confirmado.","Conciliar drift y asignaciones; no modificar en S3-0","BLOQUEADO_NEGOCIO","Asignaciones Lightning y criterio funcional","Asignación activa o decisión funcional pendiente","Equipo técnico / negocio","Tooling API, List Metadata, retrieve temporal y comparación semántica 2026-08-06","Activación por aplicación, Record Type y perfil; QA visual","Abrir la página con Record Type aplicable","Comprobar separación VN/VU y no cruce entre Empresas","ALTO","Visibilidad existente contempla segmentos legacy; modelo Quote PEKING no confirmado. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-FLX-003","S3C-B07-05","7","FlexiPages","FlexiPage","Quote","Quote_Record_Page_VU","Quote Record Page VU","NO_EXISTE","EXISTE","NO_COMPARABLE","ASIGNACION_ACTIVA_NO_DEMOSTRADA","RecordPage/AppPage recuperada; asignación por app/perfil no disponible en el artefacto","Sin referencia nominal en visibilidad","Reglas de visibilidad y componentes: addExtraProduct, flexipage:tab, flexipage:tabset, flowruntime:interview, force:detailPanel, force:highlightsPanel, force:relatedListContainer, rm_vn_sync_quote, runtime_sales_activities:activityPanel, runtime_sales_pathassistant:pathAssistant","No","Sí","Página VU separada; PEKING no aplica a usados.","Conciliar drift y asignaciones; no modificar en S3-0","NO_APLICA","Asignaciones Lightning y criterio funcional","Ninguno","Equipo técnico / negocio","Tooling API, List Metadata, retrieve temporal y comparación semántica 2026-08-06","Activación por aplicación, Record Type y perfil; QA visual","Abrir la página con Record Type aplicable","Comprobar separación VN/VU y no cruce entre Empresas","ALTO","Página VU separada; PEKING no aplica a usados. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-FLX-004","S3C-B07-06","7","FlexiPages","FlexiPage","","Estadisticas_Inventario_Usados","Estadísticas Inventario Usados","NO_EXISTE","EXISTE","NO_COMPARABLE","ASIGNACION_ACTIVA_NO_DEMOSTRADA","RecordPage/AppPage recuperada; asignación por app/perfil no disponible en el artefacto","Sin referencia nominal en visibilidad","Reglas de visibilidad y componentes: cT_Estadisticas_Inventario_lwc","No","Sí","App Page exclusiva de usados.","Conciliar drift y asignaciones; no modificar en S3-0","NO_APLICA","Asignaciones Lightning y criterio funcional","Ninguno","Equipo técnico / negocio","Tooling API, List Metadata, retrieve temporal y comparación semántica 2026-08-06","Activación por aplicación, Record Type y perfil; QA visual","Abrir la página con Record Type aplicable","Comprobar separación VN/VU y no cruce entre Empresas","ALTO","App Page exclusiva de usados. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-FLX-005","S3C-B07-06","7","FlexiPages","FlexiPage","","Ver_Inventario_Vehiculos_Usados","Ver Inventario de Vehículos Usados","NO_EXISTE","EXISTE","NO_COMPARABLE","ASIGNACION_ACTIVA_NO_DEMOSTRADA","RecordPage/AppPage recuperada; asignación por app/perfil no disponible en el artefacto","Sin referencia nominal en visibilidad","Reglas de visibilidad y componentes: rm_vu_crear_opp","No","Sí","App Page exclusiva de usados.","Conciliar drift y asignaciones; no modificar en S3-0","NO_APLICA","Asignaciones Lightning y criterio funcional","Ninguno","Equipo técnico / negocio","Tooling API, List Metadata, retrieve temporal y comparación semántica 2026-08-06","Activación por aplicación, Record Type y perfil; QA visual","Abrir la página con Record Type aplicable","Comprobar separación VN/VU y no cruce entre Empresas","ALTO","App Page exclusiva de usados. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"S3-0-B7-QA-001","S3C-B07-07","7","Quick Actions","QuickAction","","BMW_EnviarCorreoPresupuesto","Enviar correo presupuesto","NO_EXISTE","EXISTE","NO_COMPARABLE","EXPOSICION_NO_DEMOSTRADA","Objetivo VisualforcePage: BMW_QuotePDFEmail","Pendiente de exposición en layout/página","Prefijo legacy BMW; dependencia Identidad, plantilla, remitente y datos legales","Sí","No","Invoca VisualforcePage BMW_QuotePDFEmail","Validar reutilización o variante sin duplicar automáticamente","BLOQUEADO_NEGOCIO","Identidad, plantilla, remitente y datos legales","Definición o evidencia pendiente","Negocio","List Metadata y retrieve temporal individual 2026-08-06","Exposición, ejecución con datos oficiales y evidencia visual","Ejecutar acción con Empresa explícita y configuración válida","Bloquear configuración ausente y evitar fallback a otra Empresa","ALTO","No se modificó la acción ni su Flow/Visualforce. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
