"Asignacion_ID","Metadata_Tipo","Objeto","Componente_API","Aplicacion","Perfil","RecordType","FormFactor","Tipo_Asignacion","Asignado","Aplica_PEKING","Exclusivo_Usados","Fuente_Evidencia","Nivel_Confianza","Limitacion","Accion_Potencial","Notas"
"UI-00001","Layout","Account","Account-Account Layout","","Guest License User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00002","Layout","Opportunity","Opportunity-Opportunity Layout","","Guest License User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00003","Layout","Product2","Product2-Product Layout","","Guest License User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00004","Layout","Account","Account-BMW Cuenta Empresarial","","Contract Manager","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00005","Layout","Account","Account-BMW Cuenta Empresarial","","System Administrator","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00006","Layout","Account","Account-BMW Cuenta Empresarial","","Solution Manager","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00007","Layout","Account","Account-BMW Cuenta Empresarial","","Read Only","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00008","Layout","Account","Account-BMW Cuenta Empresarial","","Marketing User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00009","Layout","Account","Account-BMW Cuenta Empresarial","","Standard User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00010","Layout","Account","Account-Account Layout","","Chatter Free User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00011","Layout","Account","Account-Account Layout","","Guest License User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00012","Layout","Account","Account-Account Layout","","Chatter External User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00013","Layout","Account","Account-Account Layout","","Perfil no resuelto","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00014","Layout","Account","Account-Account Layout","","Perfil no resuelto","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00015","Layout","Account","Account-Account Layout","","Chatter Moderator User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00016","Layout","Account","Account-Account Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00017","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00018","Layout","Product2","Product2-Product Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00019","Layout","Account","Account-Account Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00020","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00021","Layout","Product2","Product2-Product Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00022","Layout","Account","Account-Account Layout","","Chatter Free User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00023","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00024","Layout","Product2","Product2-Product Layout","","Chatter Free User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00025","Layout","Account","Account-Account Layout","","Chatter Moderator User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00026","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00027","Layout","Product2","Product2-Product Layout","","Chatter Moderator User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00028","Layout","Account","Account-Account Layout","","Chatter External User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00029","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00030","Layout","Product2","Product2-Product Layout","","Chatter External User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00031","Layout","Account","Account-RM Lider Taller","","System Administrator","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00032","Layout","Opportunity","Opportunity-Autos V1.4","","System Administrator","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00033","Layout","Product2","Product2-Product Layout","","System Administrator","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00034","Layout","Account","Account-BMW Cuenta Empresarial","","Standard User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00035","Layout","Opportunity","Opportunity-Opportunity Layout","","Standard User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00036","Layout","Product2","Product2-Product Layout","","Standard User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00037","Layout","Account","Account-BMW Cuenta Empresarial","","Read Only","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00038","Layout","Opportunity","Opportunity-Opportunity Layout","","Read Only","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00039","Layout","Product2","Product2-Product Layout","","Read Only","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00040","Layout","Account","Account-BMW Cuenta Empresarial","","Solution Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00041","Layout","Opportunity","Opportunity-Opportunity Layout","","Solution Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00042","Layout","Product2","Product2-Product Layout","","Solution Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00043","Layout","Account","Account-BMW Cuenta Empresarial","","Marketing User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00044","Layout","Opportunity","Opportunity-Opportunity Layout","","Marketing User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00045","Layout","Product2","Product2-Product Layout","","Marketing User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00046","Layout","Account","Account-BMW Cuenta Empresarial","","Contract Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00047","Layout","Opportunity","Opportunity-Opportunity Layout","","Contract Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00048","Layout","Product2","Product2-Product Layout","","Contract Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00049","Layout","Account","Account-Account Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
