actividad,requerimiento,componente,escenario,estado,evidencia,registro_deploy_test,observacion,pendiente,owner
13,Poblar Pricebook PEKING Local con OMODA/JAECOO,PricebookEntry,PEKING Local CRC - OMODA QA vehiculo,PASS,ACT13_AFTER_20260819.md,PricebookEntry 01uAK000000ZeIjYAK,UnitPrice=1 provisional QA autorizado por Luis,Sustituir precio cuando negocio lo defina,Luis/negocio
13,Poblar Pricebook PEKING Local con OMODA/JAECOO,PricebookEntry,PEKING Local CRC - JAECOO QA vehiculo,PASS,ACT13_AFTER_20260819.md,PricebookEntry 01uAK000000ZeKLYA0,UnitPrice=1 provisional QA autorizado por Luis,Sustituir precio cuando negocio lo defina,Luis/negocio
13,Verificar duplicados PEKING Dolares/Local,PricebookEntry,Ausencia de duplicados Pricebook2Id+Product2Id+CurrencyIsoCode,PASS,ACT13_AFTER_20260819.md,Consulta SOQL AFTER,10 registros totales entre ambos Pricebooks sin duplicados,Ninguno,N/A
13,Verificar Standard Price CRC,PricebookEntry,Standard Price Book CRC para OMODA/JAECOO,PASS,ACT13_BEFORE_20260819.md,"01uAK000000YeUTYA0, 01uAK000000YlxQYAS",Confirmado activo antes de crear PricebookEntry PEKING Local,Ninguno,N/A
13,Catalogo oficial completo OMODA/JAECOO,Product2,Modelos vehiculares mas alla de los 2 QA existentes,PENDIENTE DE DATO DE NEGOCIO,ACT13_AFTER_20260819.md,Consulta Product2 marcaVehiculo__c,Solo existen 2 Product2 vehiculares QA en el sandbox; consistente con cierre Sprint 4 (Familia/Modelo_de_Interes2 pendientes de catalogo),Catalogo oficial de modelos y precios comerciales,Negocio/Luis/Diego
13,Hallazgo fuera de alcance,Pricebook2,"OMODA - 2026 / JAECOO - 2026 (precios de fantasia, no PEKING)",OBSERVACION - NO ACCIONADO,ACT13_BEFORE_20260819.md;ACT14_E2E_REGRESION_20260819.md,"01sAK0000007MmzYAE, 01sAK0000007OiLYAU",Confirmado via RM_VN_Inventario_Ctrl.getRecords que son catalogos legitimos de precios de fantasia por marca (no duplicados de PEKING); no autorizado en alcance Sprint 5,Ninguno (no requiere accion tecnica),N/A
14,E2E Opportunity->Quote,Opportunity;Quote,OMODA - creacion/Empresa/Pricebook/moneda,PASS,ACT14_E2E_REGRESION_20260819.md,"Opportunity 006AK00000JOCQ5YAP; Quote 0Q0AK000001y2BF0AY",Empresa PEKING/USD/PEKING Dolares resueltos correctamente,Ninguno,N/A
14,E2E Opportunity->Quote,Opportunity;Quote,JAECOO - creacion/Empresa/Pricebook/moneda,PASS,ACT14_E2E_REGRESION_20260819.md,"Opportunity 006AK00000JOCQ6YAP; Quote 0Q0AK000001y2BG0AY",Mismo resultado que OMODA,Ninguno,N/A
14,E2E QuoteLineItem,QuoteLineItem,OMODA - insercion linea vehicular,BLOQUEADO EXTERNO,ACT14_E2E_REGRESION_20260819.md,Intento API fallido - RQ329_INS_QuoteLineGuard,Error identico al documentado en Sprint 4 (tmpVar1),Resolucion de RQ329 (fuera de alcance PEKING),Equipo owner de RQ329
14,E2E QuoteLineItem,QuoteLineItem,JAECOO - insercion linea vehicular,BLOQUEADO EXTERNO,ACT14_E2E_REGRESION_20260819.md,Intento API fallido - RQ329_INS_QuoteLineGuard,Error identico al de OMODA,Resolucion de RQ329 (fuera de alcance PEKING),Equipo owner de RQ329
14,Aislamiento causa RQ329,QuoteLineItem,Producto no vehicular (BSI) en mismo Quote,BLOQUEADO EXTERNO,ACT14_E2E_REGRESION_20260819.md,Intento API fallido - RQ329_INS_QuoteLineGuard,Hallazgo Sprint 5 - confirma que el guard falla para cualquier producto en ese Quote no solo OMODA/JAECOO,N/A - refuerza clasificacion existente,N/A
14,E2E Work Order,WorkOrder,OMODA/JAECOO - creacion desde Quote,BLOQUEADO EXTERNO,ACT14_E2E_REGRESION_20260819.md,N/A - no alcanzable,Bloqueo en cascada desde RQ329 (requiere QuoteLineItem previo),Resolucion de RQ329,Equipo owner de RQ329
14,E2E Factura,Factura/Order,OMODA/JAECOO - generacion de factura,BLOQUEADO EXTERNO,ACT14_E2E_REGRESION_20260819.md,N/A - no alcanzable,Bloqueo en cascada desde RQ329,Resolucion de RQ329,Equipo owner de RQ329
14,Regresion inventario VN,RM_VN_Inventario_Ctrl,OMODA - grilla de inventario,PASS,ACT14_E2E_REGRESION_20260819.md,Anonymous Apex getRecords - totalRecords=1,Sin fault tras cambios de Actividad 13,Ninguno,N/A
14,Regresion inventario VN,RM_VN_Inventario_Ctrl,JAECOO - grilla de inventario,PASS,ACT14_E2E_REGRESION_20260819.md,Anonymous Apex getRecords - totalRecords=1,Resultado identico a OMODA,Ninguno,N/A
14,Regresion bodega/ubicacion,ProductoXBodega__c;Ubicaciones_por_Marca__c;Bodega__c,OMODA/JAECOO - PKT01,PASS,ACT14_E2E_REGRESION_20260819.md,"a2eAK00000035ETYAY, a2eAK00000037bFYAQ, a2bAK0000000vvxYAA",Sin regresion respecto a Sprint 4,Ninguno,N/A
14,Regresion configuracion RMPEKING,RM_Config__mdt,Bodega_Principal_RMPEKING,PASS,ACT14_E2E_REGRESION_20260819.md,Value__c=PKT01,Sin regresion; dato provisional se mantiene,Sustituir por bodega oficial cuando exista,Negocio
14,Aprobaciones,ApprovalProcess,WorkOrder.AprobacionCentroDeCostos,PASS (inspeccion),ACT14_E2E_REGRESION_20260819.md,Commit 1d9d6039e4c2efa88d1783e46a7ade56247d28ab (Sprint 3),Sin cambios desde ultima validacion funcional Sprint 3; centro de costo no se separa por Empresa,Ninguno,N/A
14,Integracion Softland,RM_SoftlandClient,Configuracion de endpoint (URLSoftland/ambienteSoftland),BLOQUEADO EXTERNO / documentado,ACT14_E2E_REGRESION_20260819.md,"Label.URLSoftland=http://172.176.136.132:5080, ambienteSoftland=IntegrationServices",Callout real no ejecutado por seguridad y porque RQ329 bloquea el flujo antes de alcanzar ese punto,Confirmacion de negocio sobre ambiente Softland + resolucion de RQ329,Diego/negocio
14,Regresion arquitectura configurable por Empresa,QuoteService;PricebookEntry,Ausencia de hardcode binario Bavarian/Otobai,PASS,ACT14_E2E_REGRESION_20260819.md,Sin cambios de codigo en Sprint 5,Los 2 PricebookEntry nuevos son datos no logica condicional,Ninguno,N/A
