Requerimiento_ID,Frente,Requerimiento_Original,Fuente,Pagina_Seccion,Estimacion_Original,Metadata_Tipo,Componente,Estado_Git,Estado_Partial,Trabajo_Preexistente,Estado_Actual,Accion_Requerida,Clasificacion,Dependencia,Bloqueo,Responsable_Definicion,Evidencia_Requerida,Notas
S3-LYT-01,Layouts,"Duplicar el layout BMW de Opportunity como plantilla para los dos nuevos Record Types","Alcance inicial PortalNet",p.7 §6,"Sin cantidad independiente",Layout,"Opportunity-BMW Opportunity Layout","No versionado","Existe según inventario de lectura","Record Types Omoda y Jaecoo ya creados; página VN atendida","Falta inventario de asignaciones y comparación dirigida","Recuperar para análisis; verificar asignación real y necesidad de variante antes de cambiar",PENDIENTE_INVENTARIO,"Record Types y perfiles","No hay definición que justifique campos distintos por marca","Red Motors / negocio","Retrieve temporal; diff; asignaciones por perfil/Record Type; captura en Partial","No declarar pendiente de duplicación hasta confirmar que el patrón compartido no cubre el caso."
S3-LYT-02,Layouts,"Duplicar BMW Cuenta Empresarial (V2) como plantilla para los dos nuevos Record Types","Alcance inicial PortalNet",p.7 §6,"Sin cantidad independiente",Layout,"Account-BMW Cuenta Empresarial V2","No versionado","Existe con nombre Account-BMW Cuenta Empresarial V2 según inventario","Empresa y permisos base fueron creados en Sprint 1","No existe evidencia de Record Types de Account específicos para Omoda/Jaecoo","Confirmar modelo de Account y recuperar layout antes de proponer variantes",BLOQUEADO_NEGOCIO,"Definición de Record Types y segmentación de Account","No se confirmó que deban existir cuentas separadas por marca","Negocio","Definición aprobada; metadata recuperada; matriz de asignación","El nombre del PDF difiere solo en puntuación respecto del nombre encontrado."
S3-LYT-03,Layouts,"Asegurar que layouts de Product2 muestren Marca, Empresa, Bodega y cantidad con los nuevos valores","Alcance inicial PortalNet",p.7 §6,"2 layouts mencionados",Layout,"Product2-VehiculosParaV2; Product2-Product Layout(V1.1)","No versionados","Ambos existen según inventario de lectura","Campos, Record Types y valores PEKING fueron atendidos en Sprint 1","La estructura base está cubierta; falta validar exposición y asignaciones","Validar ambos layouts y sus asignaciones sin modificar si ya exponen los campos",SOLO_VALIDACION,"Campos Product2 y Record Types","Ninguno para inspección; datos oficiales para QA positivo","QA / negocio","Capturas por Record Type; diff temporal; prueba de creación sin datos inventados","PEKING engloba OMODA/JAECOO; usados queda fuera."
S3-FLX-01,FlexiPages,"Revisar Estadísticas e Inventario de Vehículos Usados por Empresa","Alcance inicial PortalNet",p.7 §6,"2 FlexiPages mencionadas",FlexiPage/LWC,"Estadisticas_Inventario_Usados; Ver_Inventario_Vehiculos_Usados","Bundles versionados tras conciliación de Sprint 2","Existen según auditoría de Sprint 2","cT_Estadisticas_Inventario_lwc y rm_vu_crear_opp fueron revisados","Procesos exclusivos de usados","No adaptar a PEKING; conservar regresión separada",NO_APLICA,"Confirmación de Luis","PEKING no aplica a vehículos usados","Luis (confirmado)","Referencia a confirmación; prueba de no regresión VU si el lote toca dependencias compartidas","No contabilizar como trabajo funcional de Sprint 3."
S3-FLX-02,FlexiPages,"Asignar o crear página de Opportunity para los dos nuevos Record Types","Alcance inicial PortalNet",p.8 §6,"Opportunity_Record_Page y 12 variantes mencionadas",FlexiPage,"Opportunity_Record_Page_VN","Versionado","Existe y fue desplegado","Sprint 1 Bloque 21 agregó visibilidad Omoda/Jaecoo","Cambio técnico completado; asignaciones requieren verificación operativa","Validar activación y asignación de Omoda/Jaecoo en Partial",COMPLETADO_PREVIAMENTE,"Record Types Opportunity.Omoda/Jaecoo","Ninguno para revisión; perfiles pueden afectar acceso","QA","Commit/documento de Bloque 21; consulta de activación; capturas por Record Type","No crear páginas duplicadas si la página VN compartida ya cubre ambos."
S3-FLX-03,FlexiPages,"Asignar o crear páginas Quote VN/VU para los dos nuevos Record Types","Alcance inicial PortalNet",p.8 §6,"Quote_Record_Page y variantes VN/VU mencionadas",FlexiPage,"Quote_Record_Page_VN; Quote_Record_Page_VU y variantes","No versionadas","Existen páginas base y variantes según inventario de lectura","Sprint 1/2 atendió Empresa en Quote y Pricebook","No se confirmó modelo de Record Types de Quote para las nuevas marcas","Inventariar activaciones y confirmar si la segmentación es por Empresa o Record Type",BLOQUEADO_NEGOCIO,"Modelo de Quote y asignaciones de página","Falta definición oficial de experiencia Quote por empresa","Negocio","Listado de activaciones; definición aprobada; QA de Quote Omoda/Jaecoo","La página VU no se adapta a PEKING."
S3-QA-01,Quick Actions,"Duplicar variante de envío de correo de presupuesto para nueva Empresa","Alcance inicial PortalNet",p.8 §6,"5 acciones mencionadas en conjunto",QuickAction/Flow,"BMW_EnviarCorreoPresupuesto","No se encontró como QuickAction versionada","Nombre exacto no confirmado en inventario de QuickAction","PDF y resolución de Empresa tuvieron trabajo previo","Identidad legal, remitente y plantilla no están definidos","Inventariar tipo real y dependencias; no duplicar hasta contar con identidad oficial",BLOQUEADO_NEGOCIO,"Plantillas, remitente, datos legales y logos","Faltan datos oficiales de PEKING","Negocio","Metadata recuperada; correo QA; PDF adjunto; video","No inventar identidad ni destinatarios."
S3-QA-02,Quick Actions,"Duplicar acción BMW para duplicar partidas de presupuesto","Alcance inicial PortalNet",p.8 §6,"5 acciones mencionadas en conjunto",QuickAction,"Quote.BMW_Duplicar_Partidas_de_Presupuesto","No versionada","Existe según inventario de lectura","Quote y líneas recibieron soporte de Empresa en Sprint 1/2","Se desconoce si la acción contiene comportamiento BMW o solo etiqueta","Recuperar y comparar; parametrizar únicamente si la dependencia de Empresa es real",PENDIENTE_INVENTARIO,"Quote y líneas de presupuesto","Ninguno para inventario; funcional si cambia catálogo","Equipo técnico / negocio","Retrieve temporal; diff; ejecución controlada con Quote existente","No crear variantes por nombre sin evidencia funcional."
S3-QA-03,Quick Actions,"Duplicar acción de importar plantilla de Quote para nueva Empresa","Alcance inicial PortalNet",p.8 §6,"5 acciones mencionadas en conjunto",QuickAction,"Quote.BMW_ImportarPlantilla","No versionada","Existe según inventario de lectura","Flow BMW_ImportarPlantilla fue revisado en Sprint 2","El Flow activo quedó SIN CAMBIO TÉCNICO; falta confirmar necesidad real de variante de acción","Recuperar acción y validar que la acción compartida pueda reutilizarse",SOLO_VALIDACION,"BMW_ImportarPlantilla","Plantillas oficiales para QA positivo","Negocio / QA","Metadata; ejecución por Empresa; video de importación válida y error controlado","No renombrar ni duplicar si el comportamiento ya es dinámico."
S3-QA-04,Quick Actions,"Duplicar acción de cambio de moneda de Work Order para nueva Empresa","Alcance inicial PortalNet",p.8 §6,"5 acciones mencionadas en conjunto",QuickAction,"WorkOrder.BMW_CambiarMoneda","No versionada","Existe según inventario de lectura","Empresa y moneda en Work Order tuvieron trabajo de Sprint 1","La moneda comercial PEKING no está confirmada","Inventariar dependencias y detener cambio funcional hasta definición",BLOQUEADO_NEGOCIO,"Moneda y reglas de Work Order","No existe moneda oficial confirmada para PEKING","Negocio","Metadata; definición de moneda; prueba positiva/negativa; video","No inventar moneda ni reglas de conversión."
