ID_ALCANCE,REQUERIMIENTO,SPRINT,COMPONENTES_ESTIMADOS,HORAS_ESTIMADAS,UNIDAD_PRORRATEO,CANTIDAD_TOTAL,CANTIDAD_COMPLETADA,CANTIDAD_PENDIENTE,HORAS_A_COMPLETADAS,HORAS_B_PENDIENTES,HORAS_C_NO_CUANTIFICABLES,CLASIFICACION,DEPENDENCIA,EVIDENCIA,OBSERVACION
"1","Objeto configurable para manejo de marcas","Sprint 1","Objeto + clases de soporte","14","N/A (bloque unico)","1","1","0","14.0","0.0","0.0","TERMINADO_REAL","Ninguna","CIERRE_SPRINT1_44H.md","Empresa__c, EmpresaContext, EmpresaResolver desplegados y en uso activo en Sprint 2/3. 100% medible: A+B=14h, C=0h"
"2","Picklists/campos + fix typos","Sin Sprint asignado en el original","13 campos","4","Campos","13","N/D","N/D","0.0","0.0","4.0","HORAS_NO_CUANTIFICABLES_CON_PRECISION","Ninguna identificada","Ninguna encontrada","Sin evidencia de ejecucion en ninguna fuente revisada; categoria C (no B) porque no hay fuente nominal que permita afirmar ni completado ni pendiente con precision"
"3","Record Types nuevos (Opportunity/Lead/Order/Case)","Sin Sprint asignado en el original","2 RT + 4-6 en otros objetos","10","Objetos con RT replicado","N/D (rango 4-6, sin lista nominal)","N/D","N/D","0.0","0.0","10.0","HORAS_NO_CUANTIFICABLES_CON_PRECISION","Ninguna","RESULTADO_QA_PLACEHOLDERS_SPRINT3_20260810.md (uso de RT Omoda/Jaecoo en Opportunity y Lead)","Opportunity y Lead confirmados con evidencia fuerte; Order/Case sin verificar; rango original sin lista nominal impide categoria A/B, pasa a C"
"4","Apex (~33 clases + 3 triggers, incluye 8 Pricebook/Softland)","Sprint 1","33 clases + 3 triggers","30","Clases + triggers","36","35","1","29.2","0.8","0.0","PARCIAL","Negocio (soporte funcional PEKING en 6 de 7 BatchGet*Softland)","CIERRE_TECNICO_SPRINT1_33_CLASES_3_TRIGGERS_DRAFT.md (Test Run 707AK00000HB6UY, 33/33 tests)","32/33 clases + 3/3 triggers confirmados Git=Partial; clase 33 nunca seleccionada. 100% medible: A+B=30h, C=0h"
"5","Flows (~20, incluye 5 de Pricebook)","Sprint 2","20 flows","20","Flows","20","8","12","8.0","12.0","0.0","PARCIAL","Equipo desarrollo (12 flows MODIFICAR, sujeto a verificacion de alcance autorizado antes de tocarlos)","MATRIZ_CIERRE_SPRINT2.csv, AUDITORIA_CIERRE_SPRINT2.md","8=6 sin cambio tecnico + 2 no aplica (alcance cerrado, no pendiente); 12=modificar; poblacion real coincide exactamente con la estimada (20). 100% medible: A+B=20h, C=0h"
"6","LWC/Aura (~16, incluye rm_vu_inventario)","Sprint 2","16 componentes","20","Bundles LWC/Aura","25 (poblacion real; no coincide con ~16 estimado)","N/D","N/D","0.0","0.0","20.0","HORAS_NO_CUANTIFICABLES_CON_PRECISION","Ninguna","REGLAS_ALCANCE_AUTORIZADO.md, AUDITORIA_CIERRE_SPRINT2.md","Solo rm_vu_inventario tiene autorizacion+confirmacion por nombre (sin fraccion de hora asignada, evita inventar denominador); poblacion auditada (25) no coincide con estimacion original (~16); categoria C"
"7","Layouts/FlexiPages/Quick Actions","Sprint 3","~10+10+5=25","5","Componentes UI","78 (poblacion real; no coincide con ~25 estimado)","19","54 (+1 Opportunity_Record_Page_VN tratado aparte, resuelto +4 no aplica)","0.0","0.0","5.0","HORAS_NO_CUANTIFICABLES_CON_PRECISION","Negocio (54 bloqueados por asignacion funcional)","RESULTADO_B7_1_RECONCILIACION_VENTAS_NUEVAS_20260810.md, EVIDENCIAS_NEGOCIO_SPRINT3_20260810.md secc. 6","19 de 78 ya no requieren desarrollo; Opportunity_Record_Page_VN (decision funcional YA RESUELTA 2026-08-11, ver fila 15) tratado aparte de las 78; poblacion real casi 3x la estimada, categoria C"
"8","List Views","Sin Sprint asignado en el original","~25 base x variantes 2 RT","8","List Views","N/D","N/D","N/D","0.0","0.0","8.0","HORAS_NO_CUANTIFICABLES_CON_PRECISION","Ninguna identificada","Ninguna encontrada","Sin evidencia de ejecucion en ninguna fuente revisada; categoria C"
"9","Validation Rules/Approval Processes + roles","Sprint 3","~7 VR + ~6 AP = 13","10","VR+AP (mixto)","VR=4 (real, no ~7); AP=12 (real, no ~6)","VR: 4/4; AP logica: 12/12 resuelta (8 descuento + 2 centro costo + 2 garantia bloqueada por negocio)","VR: 0; AP: QA en vivo pendiente de jerarquia temporal (8) + negocio (2 centro costo, 2 garantia)","0.0","0.0","10.0","HORAS_NO_CUANTIFICABLES_CON_PRECISION","Salesforce/tecnica temporal (jerarquia, ver fila 16); Negocio (2 AP garantia, centro de costo oficial)","RESULTADO_QA_FUNCIONAL_B9_1_20260807.md, RESULTADO_CORRECCION_CAMPO_GUSTOS_B9_1_20260807.md, RESULTADO_B7_1_RECONCILIACION_VENTAS_NUEVAS_20260810.md secc. 5","4 VR 100% QA-completas (15/15); 8 AP descuento LOGICA_RESUELTA via relatedUserField (confirmado tecnicamente 2026-08-11), QA en vivo pendiente solo de que la jerarquia temporal tenga datos (bloqueo de schema, fila 16); poblacion real de AP (12) no coincide con estimada (~6), categoria C"
"10","Profiles/Permission Sets","NA","~40 ajustar + ~10-15 nuevos","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sin cita","Excluido del total de horas; el propio documento original lo marca NA/NA"
