"Objeto","ApprovalProcess_API","Activo","EntryCriteria_Resumen","Referencia_Empresa","Referencia_Marca","Referencia_RecordType","Incluye_PEKING_Actualmente","Tipo_Criterio","Paso","Tipo_Aprobador","Aprobador_Referencia","Dependencia_Role","Dependencia_Profile","Dependencia_Diego","Decision_Negocio_Requerida","Clasificacion","Motivo","Cambio_Potencial","Prueba_Positiva","Prueba_Negativa","Regresion","Evidencia","Notas"
"Opportunity","Opportunity.Aprobacion_descuento_Director_con_Jefe","Sí","Director=True; DirectorVentas informado; GerenteSucursal vacío; JefeSucursal informado; Descuento_Total>0","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c -> DirectorVentas__c","No","No","No","Ninguna para metadata; disponer usuarios relacionados para QA","SIN_CAMBIO_REQUIERE_REGRESION","No enumera Empresa, Marca ni RecordType; aprobadores por campos User lookup","Ninguno","Oportunidad PEKING elegible completa ambos pasos y acciones finales","Descuento 0 o combinación de indicadores distinta no entra","Bavarian y Otobai; aprobación, rechazo y recall","Retrieve dirigido de Partial 2026-08-06","Sin acciones iniciales; final: Descuento_Aprobado, Pendiente_Descuento y Ultimo_descuento_aprobado"
"Opportunity","Opportunity.Aprobacion_descuento_Director_con_Jefe","Sí","Hereda criterio del proceso","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","Aprobacion_del_Jefe_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c","No","No","No","Ninguna para metadata","SIN_CAMBIO_REQUIERE_REGRESION","Campo de usuario relacionado; no fija usuario ni rol","Ninguno","Jefe informado recibe paso","Jefe vacío impide esta variante","Comparar ruta legacy","Metadata Partial","Unanimous"
"Opportunity","Opportunity.Aprobacion_descuento_Director_con_Jefe","Sí","Hereda criterio del proceso","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","Aprobacion_del_Director_de_la_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","DirectorVentas__c","No","No","No","Ninguna para metadata","SIN_CAMBIO_REQUIERE_REGRESION","Campo de usuario relacionado; no fija usuario ni rol","Ninguno","Director informado recibe paso","Director vacío impide entrada","Comparar ruta legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Full_Team","Sí","Director=True; DirectorVentas, GerenteSucursal y JefeSucursal informados; Descuento_Total>0","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c -> GerenteSucursal__c -> DirectorVentas__c","No","No","No","Ninguna para metadata; disponer usuarios relacionados para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y tres campos User lookup","Ninguno","Oportunidad PEKING recorre tres pasos","Un responsable vacío selecciona otra variante","Bavarian y Otobai; acciones finales/rechazo/recall","Retrieve dirigido de Partial 2026-08-06","Sin acciones iniciales"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Full_Team","Sí","Hereda criterio del proceso","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","Aprobacion_del_Jefe_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Jefe recibe paso","Campo vacío no satisface proceso","Comparar ruta legacy","Metadata Partial","Unanimous"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Full_Team","Sí","Hereda criterio del proceso","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","Aprobacion_del_Gerente_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Gerente recibe paso","Campo vacío no satisface proceso","Comparar ruta legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Full_Team","Sí","Hereda criterio del proceso","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","Aprobacion_del_Director_de_la_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","DirectorVentas__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Director recibe paso","Campo vacío no satisface proceso","Comparar ruta legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Gerente4","Sí","Director=True; DirectorVentas y GerenteSucursal informados; JefeSucursal vacío; Descuento_Total>0","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c -> DirectorVentas__c","No","No","No","Ninguna para metadata; disponer usuarios relacionados para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y campos User lookup","Ninguno","Oportunidad PEKING recorre ambos pasos","Jefe informado selecciona otra variante","Bavarian y Otobai","Retrieve dirigido de Partial 2026-08-06","Acciones finales equivalentes al resto de descuentos"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Gerente4","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Gerente_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Gerente recibe paso","Campo vacío impide entrada","Comparar legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Director_Gerente4","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Director_de_la_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","DirectorVentas__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Director recibe paso","Campo vacío impide entrada","Comparar legacy","Metadata Partial","FirstResponse"
