ID_ALCANCE,REQUERIMIENTO,SPRINT_ORIGINAL,HORAS,OBJETO_AREA,COMPONENTE,ESTADO,EVIDENCIA,PENDIENTE,TIPO_PENDIENTE,BLOQUEA_CIERRE,PASAR_A_SPRINT4,OBSERVACION
"1","Objeto configurable para manejo de marcas","Sprint 1","14","Configuracion base","Empresa__c, EmpresaContext, EmpresaResolver, EmpresaConfigurationException","COMPLETO_CON_EVIDENCIA","CIERRE_SPRINT1_44H.md; en uso activo en Sprint 2/3 (Empresa_Operadora__c en Opportunity, Pricebook2.Empresa__c)","Ninguno","N/A","No","No","Base del proyecto, terminada y en uso"
"2","Picklists/campos + fix typos","Sin Sprint asignado en el original","4","Configuracion base","13 campos (sin lista nominal documentada)","PENDIENTE","Ninguna encontrada en ninguna fuente revisada","Confirmar si se ejecuto o no","DEFINICION_FUNCIONAL (confirmar alcance/estado real antes de poder clasificar como desarrollo o como cerrado)","No (no hay evidencia de que bloquee ninguna funcionalidad activa)","Si, como definicion primero","Sin evidencia de ejecucion; no se asume completado ni pendiente sin base"
"3","Record Types nuevos (Opportunity/Lead/Order/Case)","Sin Sprint asignado en el original","10","Configuracion base / Apex","RecordType Omoda/Jaecoo en Opportunity y Lead; Order.empresaQueFactura__c confirmado FUERA_DE_ALCANCE Sprint 1; Case sin evidencia","PARCIAL","Opportunity/Lead: Ids confirmados y en uso extensivo en Sprint 3 (RESULTADO_QA_PLACEHOLDERS_SPRINT3_20260810.md); Order: MATRIZ_TRAZABILIDAD_REQUERIMIENTOS_SPRINT1.md confirma fuera de alcance explicito","Confirmar si Case requiere Record Type propio; decidir si Order sigue fuera de alcance","DEFINICION_FUNCIONAL","No (Opportunity/Lead, el uso real hoy, ya funcionan)","Si, unicamente la definicion sobre Case/Order","Opportunity y Lead COMPLETO_CON_EVIDENCIA; el ambito original decia rango 4-6 objetos sin lista nominal"
"4","Apex (~33 clases + 3 triggers, incluye 8 Pricebook/Softland)","Sprint 1","30","Apex","32/33 clases + 3/3 triggers confirmados Git=Partial dentro del alcance acordado de 44h","PARCIAL","CIERRE_TECNICO_SPRINT1_33_CLASES_3_TRIGGERS_DRAFT.md (Test Run 707AK00000HB6UY, 33/33 tests); CIERRE_SPRINT1_44H.md aclara que '~33 clases y 3 triggers' fue estimacion inicial, no criterio de aceptacion final","Clase 33 nunca fue seleccionada ni confirmada","DEFINICION_FUNCIONAL (cual es la clase 33) previo a cualquier desarrollo","No (el cierre formal del bloque de 44h tiene un checkpoint de confirmacion sin marcar, pero no hay funcionalidad rota)","Si, la definicion; desarrollo solo si la definicion lo requiere","Existe tambien un inventario mas amplio (INVENTARIO_APEX_SPRINT1.md, 69 clases) que documenta que la logica binaria previa Bavarian/Otobai persiste sin migrar en ~14 clases fuera del alcance acordado de 33 — ver observacion de auditoria, REQUIERE_REVISION, no se agrega como pendiente nuevo sin autorizacion"
"5","Flows (~20, incluye 5 de Pricebook)","Sprint 2","20","Flows","20 Flows (poblacion real coincide con la estimacion)","PARCIAL","MATRIZ_CIERRE_SPRINT2.csv, AUDITORIA_CIERRE_SPRINT2.md (2026-08-04, auditoria de cierre mas reciente que reemplaza inventarios previos)","12 de 20 Flows marcados MODIFICAR","DESARROLLO (sujeto a verificacion de alcance autorizado antes de tocarlos)","No","Si","6 SIN_CAMBIO_TECNICO + 2 NO_APLICA = 8 sin desarrollo pendiente; 12 MODIFICAR si es desarrollo real pendiente"
"6","LWC/Aura (~16, incluye rm_vu_inventario)","Sprint 2","20","LWC/Aura","25 bundles auditados (poblacion real, no coincide con ~16 estimado)","PARCIAL","AUDITORIA_CIERRE_SPRINT2.md; REGLAS_ALCANCE_AUTORIZADO.md (rm_vu_inventario autorizado y confirmado por nombre)","4 sin cambio tecnico + 2 no aplica + 3 modificar confirmados; 16 marcados bloqueado sin autorizacion nominal","DESARROLLO (solo los ya autorizados) + DEFINICION_FUNCIONAL (para el resto, sin lista nominal que reconcilie con el alcance original)","No","Si, unicamente lo autorizado nominalmente","Solo rm_vu_inventario tiene autorizacion y confirmacion explicita por nombre; no se puede prorratear el resto sin inventar una correspondencia"
"7","Layouts/FlexiPages/Quick Actions","Sprint 3","5","UI","78 elementos auditados (10+10+5=25 estimados originalmente)","PARCIAL","RESULTADO_B7_1_RECONCILIACION_VENTAS_NUEVAS_20260810.md; EVIDENCIAS_NEGOCIO_SPRINT3_20260810.md secc. 6 (4 evidencias visuales)","54 elementos sin definicion o aplicacion (32 sin uso activo demostrado, 14 Taller/Postventa, 5 segmentos legacy, 3 requieren plantilla PEKING)","DEFINICION_FUNCIONAL (32+14+5) + DATOS_NEGOCIO (3, contenido de plantilla)","No","Si, solo tras la definicion correspondiente","19 de 78 ya resueltos (10 sin cambio + 8 equivalencia Ventas Nuevas + 1 Quote_Record_Page_VN); Opportunity_Record_Page_VN tratado aparte (fila 15); 4 no aplican, confirmado"
"8","List Views","Sin Sprint asignado en el original","8","UI","~25 base x variantes 2 RT (sin lista nominal)","PENDIENTE","Ninguna encontrada en ninguna fuente revisada","Confirmar si se ejecuto o no","DEFINICION_FUNCIONAL","No (sin evidencia de que bloquee funcionalidad activa)","Si, como definicion primero","Sin evidencia de ejecucion en ninguna fuente revisada"
"9","Validation Rules/Approval Processes + roles","Sprint 3","10","Reglas de negocio / Aprobaciones","4 Validation Rules; 12 Approval Processes reales (8 descuento + 2 centro de costo + 2 garantia)","PARCIAL","RESULTADO_QA_FUNCIONAL_B9_1_20260807.md (15/15 escenarios VR); RESULTADO_B7_1_RECONCILIACION_VENTAS_NUEVAS_20260810.md secc.5 (logica AP confirmada via campo relacionado en Opportunity)","QA en vivo de los 8 AP de descuento pendiente de que la jerarquia temporal tenga datos; 2 AP de garantia bloqueados por definicion de negocio; centro de costo con placeholder, aprobacion real pendiente de dato oficial","VALIDACION (descuento, bloqueado por fila 16) + DEFINICION_FUNCIONAL (garantia, centro de costo oficial)","No","Si, la validacion en cuanto se libere fila 16; la definicion de garantia y centro de costo","Validation Rules COMPLETO_CON_EVIDENCIA (4/4); Approval Processes de descuento LOGICA_RESUELTA, sin desarrollo especifico de marca requerido"
"10","Profiles/Permission Sets","NA","NA","N/A","N/A","NO_APLICA_CONFIRMADO","El propio documento de alcance original lo marca NA/NA","N/A","N/A","No","No","Excluido del total de horas por el propio documento original"
"11","Custom Metadata/Integracion Softland","Sprint 3","8","Integracion","13 clases reconocen RMPEKING; 6 catalogos con 36/36 pruebas simuladas aprobadas","PARCIAL","RESULTADO_B11_1_CATALOGOS_SOFTLAND_20260806.md; RESULTADO_QA_PLACEHOLDERS_SPRINT3_20260810.md (colision de clave de bodega demostrada)","Bodegas oficiales, convencion de clave, contenido real de catalogo, centro de costo oficial, regla de Pricebook por defecto","DATOS_NEGOCIO + DEFINICION_FUNCIONAL","No","Si, la definicion; sin conexion real todavia probada","Desarrollo tecnico completo y probado con datos simulados; nunca hubo conteo de componentes en el alcance original, no se prorratea"
"12","Global Value Sets de marca","Sin Sprint asignado en el original","1","Configuracion base","3 GVS","PENDIENTE","Ninguna encontrada en ninguna fuente revisada","Confirmar si se ejecuto o no","DEFINICION_FUNCIONAL","No","Si, como definicion primero","Sin evidencia de ejecucion en ninguna fuente revisada"
"13","Crear y poblar 2 Pricebooks nuevos (dato)","Sin Sprint asignado en el original","10","Datos comerciales","Pricebook2 PEKING Local (01sAK0000006DVdYAM) y PEKING Dolares (01sAK0000006DXFYA2)","PARCIAL","Confirmado por consulta directa: ambos registros existen y estan ligados a Empresa__c=PEKING","Poblacion masiva de PricebookEntry (precios reales) sin evidencia de ejecucion","DATOS_NEGOCIO","No","Si","Creacion de los 2 Pricebook2 completa; la poblacion de precios reales es la parte mayor del esfuerzo original y sigue sin evidencia"
"14","Pruebas de integracion end-to-end / regresion","Sin Sprint asignado en el original","10","Pruebas","Opp-Quote-WO-Factura, inventario, aprobaciones, Softland","PENDIENTE","Ninguna encontrada en ninguna fuente revisada","Ejecutar un ciclo end-to-end real una vez existan datos oficiales","VALIDACION (depende de que existan datos oficiales de negocio primero)","No","Si, una vez resueltas las definiciones de negocio","Sin evidencia de ejecucion end-to-end real; depende de varias definiciones de negocio antes de poder ejecutarse con sentido"
"15","Opportunity_Record_Page_VN (pagina de detalle de Oportunidad para Omoda/Jaecoo)","Sprint 3 (trabajo adicional 2026-08-10/11, sin horas propias en el alcance original)","0","UI","Reutilizacion de la pagina existente de Venta Nueva, sin crear pantalla nueva","IMPLEMENTADO_VALIDACION_PENDIENTE","EVIDENCIAS_NEGOCIO_SPRINT3_20260810.md; revision de solo lectura 2026-08-11 confirma condiciones Omoda/Jaecoo ya presentes en la pagina, en Git y en el ambiente de pruebas","Asignacion final de la pagina por marca/rol de usuario","CONFIGURACION (entrelazada con el trabajo de renombre de perfiles en curso, no una decision pendiente)","No","Si, unicamente la puesta a punto final de asignacion","La decision funcional de reutilizar esta pagina ya esta tomada, no es una decision abierta"
