"Requerimiento_ID","Bloque_Original","Frente","Requerimiento_Original","Fuente","Pagina_Seccion","Estimacion_Original","Asignacion_Original","Categoria_Origen","Metadata_Tipo","Componente","Estado_Git","Estado_Partial","Estado_Activo","Aplica_PEKing","Exclusivo_Usados","Trabajo_Preexistente","Estado_Actual","Accion_Requerida","Clasificacion_Ejecucion","Dependencia","Bloqueo","Responsable_Definicion","Evidencia_Encontrada","Evidencia_Requerida","Nivel_Confianza","Notas"
"S3C-B01-01","1","Objeto configurable","Objeto y clases que permitan configurar nuevas empresas","Fuente actualizada","p.10, tabla consolidada","14h","Sprint 1","SPRINT1_PENDIENTE_DE_VALIDACION","CustomObject","Empresa__c","Objeto y cuatro campos versionados","Tres registros RMBAVARIAN, RMOTOBAI y RMPEKING activos","Activo","Sí","No","Sprint 1 creó EmpresaResolver y metadata base","Cubierto con evidencia técnica; no es Sprint 3","Conservar como dependencia y validar regresión","COMPLETADO_CON_EVIDENCIA","Ninguna para existencia","QA funcional integral pendiente","QA","Objeto/campos en Git; consulta de lectura de tres códigos activos","Pruebas de resolución y no cruce por Empresa","ALTO","Empresa_Operadora__c o lookup Empresa sigue siendo fuente principal."
"S3C-B02-01","2","Campos y picklists","Ajustar 13 campos y corregir valores","Fuente actualizada","p.10, tabla consolidada","4h","Validar contra Sprint 1","SPRINT1_PENDIENTE_DE_VALIDACION","CustomField/Picklist","13 campos del inventario original","Campos PEKING y Empresa presentes parcialmente en Git","Existencia parcial confirmada por documentación previa","Mixto","Sí","Incluye ReciboUsado__c","Sprint 1 atendió campos y picklists de Empresa","Debe conciliarse campo por campo; usados no se adapta","Validar las 13 filas originales sin agregar PEKING a picklists legacy","PARCIALMENTE_CUBIERTO","Metadata de objetos y decisiones posteriores","No hay evidencia consolidada de los 13 campos","Equipo técnico","Documentación de Sprint 1 y metadata Git","Matriz de 13 campos Git/Partial y pruebas por Record Type","MEDIO","No pertenece automáticamente a Sprint 3."
"S3C-B03-01","3","Record Types","Crear dos Record Types de Opportunity y réplicas necesarias","Fuente actualizada","p.10, tabla consolidada","10h","Validar contra Sprint 1","SPRINT1_PENDIENTE_DE_VALIDACION","RecordType","Opportunity.Omoda; Opportunity.Jaecoo","Ambos versionados","Ambos existen según evidencia previa de Partial","Activos según documentación de Bloque 21","Sí","No","Sprint 1 creó y desplegó ambos Record Types","Cubierto técnicamente","Validar asignaciones y picklists por Record Type","COMPLETADO_CON_EVIDENCIA","Layouts, páginas y acceso","Aceptación funcional pendiente","QA","IMPLEMENTACION_BLOQUE21_OPORTUNIDAD_UI.md y metadata Git","Capturas y prueba por ambos Record Types","ALTO","No volver a crear."
"S3C-B03-02","3","Record Types","Replicar Record Types en Lead, Order y Case cuando aplique","Fuente actualizada","p.2 y p.10","2 RT + 4-6 en otros objetos","Validar contra Sprint 1","SPRINT1_PENDIENTE_DE_VALIDACION","RecordType","Lead Omoda/Jaecoo; Order/Case por confirmar","Lead versionado; Order/Case no consolidados","Lead confirmado; Order/Case pendiente de inventario","Mixto","Sí","No","Lead y mappings fueron creados en Sprint 1","Lead cubierto; Order/Case no demostrados","Validar alcance real sin inferir variantes","PENDIENTE_INVENTARIO","Modelo funcional Order/Case","Necesidad de variantes no confirmada","Negocio","Mappings y Record Types Lead en Git/Partial","Inventario y definición aprobada para Order/Case","MEDIO","Permanece en Sprint 1."
"S3C-B04-01","4","Apex","Refactor de aproximadamente 33 clases","Fuente actualizada","p.10-12, tabla y detalle Apex","30h","Sprint 1","SPRINT1_PENDIENTE_DE_VALIDACION","ApexClass","Lista visible de 32 clases","Clases y tests versionados","Despliegues y pruebas documentados; no consultados de nuevo","N/A","Sí","No","Sprint 1 ejecutó múltiples bloques Apex","La lista visible no demuestra 33/33","Conciliar las 32 clases visibles y resolver la clase 33","PARCIALMENTE_CUBIERTO","Conteo fuente inconsistente","La fuente afirma y cuestiona simultáneamente la clase 33","Luis / equipo técnico","Lista literal de 32 clases; documentos de pruebas Sprint 1","Matriz 32+1 con clase exacta y evidencia individual","ALTO","No incluir refactor Apex en Sprint 3."
"S3C-B04-02","4","Triggers","Refactor de tres triggers","Fuente actualizada","p.10-12","Incluido en 30h","Sprint 1","SPRINT1_PENDIENTE_DE_VALIDACION","ApexTrigger","ChanceAccountBavarian; ChanceAccountContado; WorkOrderTrigger","Versionados","Trabajo previo documentado","N/A","Sí","No","Sprint 1 atendió triggers","Requiere evidencia individual, no conteo global","Validar comportamiento y pruebas","SOLO_VALIDACION","Objeto Empresa y Pricebooks","QA funcional pendiente","QA","Metadata Git y documentación Sprint 1","Pruebas por Bavarian/Otobai/PEKING y errores controlados","MEDIO","No es Sprint 3."
"S3C-B05-01","5","Flows","Revisar aproximadamente 20 Flows","Fuente actualizada","p.10, tabla consolidada","20h","Sprint 2","SPRINT2_PENDIENTE","Flow","20 Flows auditados de Sprint 2","Versionados y conciliados","Estado y versiones documentados","Mixto","Sí","ReciboUsadosFlow no aplica","Lotes 1, 2A, 2D1 y 2D2 ejecutados parcialmente","Sprint 2 permanece pausado","No incorporar en Sprint 3","BLOQUEADO_NEGOCIO","Cinco Flows pendientes","Work Order, garantía y agenda sin definición","Negocio","MATRIZ_CIERRE_SPRINT2.csv y resultados de lotes","Respuestas, QA y videos de cierre Sprint 2","ALTO","Cinco Flows bloqueados permanecen en Sprint 2."
"S3C-B06-01","6","LWC/Aura","Revisar aproximadamente 16 componentes","Fuente actualizada","p.10, tabla consolidada","20h","Sprint 2","SPRINT2_PENDIENTE","LightningComponentBundle/AuraDefinitionBundle","25 bundles auditados en Sprint 2","Versionados y conciliados","Conciliación Partial documentada","N/A","Sí","Bundles VU no aplican","Lote 0.1 concilió 13 bundles y auditoría cubrió 25","No pertenece a Sprint 3","Completar Sprint 2 y regresión separada","PARCIALMENTE_CUBIERTO","Bloqueos funcionales y QA","Sprint 2 no cerrado","Negocio / QA","RESULTADO_LOTE0_1_CONCILIACION_MANUAL.md y matriz Sprint 2","QA funcional y evidencias pendientes","ALTO","La cifra 16 era estimada, no lista final."
"S3C-B07-01","7","Layouts","Duplicar Opportunity BMW como plantilla para dos Record Types nuevos","Fuente actualizada","p.7 y p.10","Parte de ~10 layouts","Sprint 3","SPRINT3_EXPLICITO","Layout","Opportunity-BMW Opportunity Layout","No versionado","Existe; modificado 2026-07-14","Sin estado activo propio; asignación pendiente","Sí","No","Opportunity_Record_Page_VN y RT ya cubiertos","No se demostró que deba duplicarse el layout","Conciliar asignaciones y comparar con layout VN vigente","PENDIENTE_INVENTARIO","Record Types, perfiles y asignaciones","Asignación exacta no recuperada","Equipo técnico","List metadata y retrieve temporal","Matriz de asignaciones y diff semántico","ALTO","No asumir una variante por marca."
"S3C-B07-02","7","Layouts","Duplicar Account BMW Cuenta Empresarial V2 como plantilla","Fuente actualizada","p.7 y p.10","Parte de ~10 layouts","Sprint 3","SPRINT3_EXPLICITO","Layout","Account-BMW Cuenta Empresarial  V2","No versionado","Existe; modificado 2026-08-03","Sin estado activo propio; asignación pendiente","Por determinar","No","Empresa base existe","No hay Record Types Account Omoda/Jaecoo demostrados","Confirmar modelo de Account antes de proponer cambio","BLOQUEADO_NEGOCIO","Modelo de Account y asignaciones","Necesidad funcional no confirmada","Negocio","List metadata y retrieve temporal","Definición aprobada y matriz de asignaciones","ALTO","El nombre real contiene dos espacios antes de V2."
