ID,tipo,nombre exacto,fuente de alcance,estado en Git,estado en Partial,activo/inactivo,hallazgo,hardcodes,dependencias,clasificación,justificación,corrección propuesta,prueba requerida,evidencia requerida,riesgo de regresión,bloqueo,responsable,prioridad,estado en Producción,versión activa en Producción,evidencia Producción,impacto real por PEKING,acción requerida
F01,Flow,Opportunity_Flow,Documento §4 + Luis,Existe: force-app/main/default/flows/Opportunity_Flow.flow-meta.xml,Existe; activa v28,Activo,Resolver dinámico por Empresa_Operadora__c y moneda; fallback legacy controlado; dependencia compartida reforzada en Lote 1,Fallback BMW_Compania__c Bavarian/Otobai; textos legacy,EmpresaPricebookResolver; Empresa__c; Opportunity.Empresa_Operadora__c; Pricebook2; CurrencyIsoCode; EmpresaPricebookResolver Lote 1 desplegado en Partial,SIN CAMBIO TÉCNICO,No usa nombre o Id fijo de Pricebook y no asigna Bavarian por else,Ninguna; retirar fallback en fase posterior cuando se complete migración,E2E crear oportunidad desde pantalla para 3 empresas y CRC/USD,Video y captura de Opportunity.Empresa_Operadora__c y Pricebook2Id,Alto,Datos oficiales de moneda/Pricebook deben estar validados,QA/Negocio,P0,Existe; definición activa Opportunity_Flow v25,25,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opportunity_Flow; ActiveVersion=25; Status=Active",Sin cambio técnico: No usa nombre o Id fijo de Pricebook y no asigna Bavarian por else,No modificar; ejecutar únicamente regresión/evidencia.
F02,Flow,Opp_flow_v4,Documento §4 + Luis,Existe: force-app/main/default/flows/Opp_flow_v4.flow-meta.xml,Existe; activa v19,Activo,Mismo resolver dinámico; incluye Softland y sucursal; dependencia compartida reforzada en Lote 1,Fallback BMW_Compania__c; textos Bavarian/Otobai,EmpresaPricebookResolver; ecflc__flowUserRecordType; Empresa__c; Sucursal__c; Softland; EmpresaPricebookResolver Lote 1 desplegado en Partial,SIN CAMBIO TÉCNICO,La selección de Pricebook es por Empresa; los ramales ajenos requieren regresión,Ninguna funcional; planificar retiro de fallback,E2E 3 empresas; cuenta Softland; sucursal; monedas,Video por empresa y evidencia de no selección silenciosa,Alto,Catálogo/moneda y respuesta Softland oficiales,QA/Negocio,P0,Existe; definición activa Opp_flow_v4 v16,16,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opp_flow_v4; ActiveVersion=16; Status=Active",Sin cambio técnico: La selección de Pricebook es por Empresa; los ramales ajenos requieren regresión,No modificar; ejecutar únicamente regresión/evidencia.
F03,Flow,BMW_ImportarPlantilla,Documento §4/§10 + Luis,Existe: force-app/main/default/flows/BMW_ImportarPlantilla.flow-meta.xml,Existe; activa v16,Activo,Resuelve Pricebook por Empresa_Operadora__c y detiene ruta si no hay resolución; dependencia compartida reforzada en Lote 1,Fallback BMW_Compania__c; selección de bodega por territorio,EmpresaPricebookResolver; Plantilla_de_Presupuesto__c; WorkOrder; Bodega__c; territorio; EmpresaPricebookResolver Lote 1 desplegado en Partial,SIN CAMBIO TÉCNICO,Cumple fuente principal y evita Pricebook arbitrario,Ninguna hasta validar datos de bodega/territorio,Importación real desde plantilla para 3 empresas y ambos escenarios de moneda,Video completo; registros de plantilla/WO y mensajes controlados,Alto,Bodega y territorio PEKING no confirmados,Negocio/QA,P0,Existe; definición activa BMW_ImportarPlantilla v13,13,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=BMW_ImportarPlantilla; ActiveVersion=13; Status=Active",Sin cambio técnico: Cumple fuente principal y evita Pricebook arbitrario,No modificar; ejecutar únicamente regresión/evidencia.
F04,Flow,BMW_Gestiona_Listas_de_Precios,Documento §4 + Luis,Existe: force-app/main/default/flows/BMW_Gestiona_Listas_de_Precios.flow-meta.xml,Existe; activa v7,Activo,Empresa_Operadora__c principal; solo actualiza con EXITO; dependencia compartida reforzada en Lote 1,CASE Bavarian/Otobai para fallback temporal; sin PEKING legacy,EmpresaPricebookResolver; Opportunity; Empresa__c; Pricebook2; CurrencyIsoCode; EmpresaPricebookResolver Lote 1 desplegado en Partial,SIN CAMBIO TÉCNICO,Fallback está acotado y no convierte empresa desconocida en Bavarian,Ninguna; monitorear oportunidades sin Empresa,"Insert/update por UI con empresa válida, ausente y ambigua",Capturas antes/después de Pricebook2Id y logs de Flow,Alto,Definir fecha de retiro de BMW_Compania__c,Luis/Diego,P1,Existe; definición activa BMW_Gestiona_Listas_de_Precios v2,2,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=BMW_Gestiona_Listas_de_Precios; ActiveVersion=2; Status=Active",Sin cambio técnico: Fallback está acotado y no convierte empresa desconocida en Bavarian,No modificar; ejecutar únicamente regresión/evidencia.
F05,Flow,Obtener_PricebookEntry_en_Linea_de_Plantilla_de_Presupuesto,Documento §4 + Luis,Existe: force-app/main/default/flows/Obtener_PricebookEntry_en_Linea_de_Plantilla_de_Presupuesto.flow-meta.xml,Existe; activa v3,Activo,Resuelve Empresa de plantilla y no continúa sin EXITO; dependencia compartida reforzada en Lote 1,Fallback BMW_Compania__c a Codigo_ERP__c,EmpresaPricebookResolver; Empresa__c; Plantilla_de_Presupuesto__c; PricebookEntry; EmpresaPricebookResolver Lote 1 desplegado en Partial,SIN CAMBIO TÉCNICO,Evita búsqueda de PricebookEntry con Pricebook incorrecto,Ninguna; retirar fallback cuando negocio lo autorice,Línea de plantilla por empresa/moneda/producto y sin configuración,Video y evidencia de PricebookEntry perteneciente al Pricebook esperado,Alto,Productos/precios oficiales no confirmados,Negocio/QA,P0,Existe; definición activa Obtener_PricebookEntry_en_Linea_de_Plantilla_de_Presupuesto v1,1,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Obtener_PricebookEntry_en_Linea_de_Plantilla_de_Presupuesto; ActiveVersion=1; Status=Active",Sin cambio técnico: Evita búsqueda de PricebookEntry con Pricebook incorrecto,No modificar; ejecutar únicamente regresión/evidencia.
F06,Flow,Opportunity_Flow_From_Work_Order,Documento/Manual + mensajes Luis,Existe: force-app/main/default/flows/Opportunity_Flow_From_Work_Order.flow-meta.xml,Existe; activa v16,Activo,Ya contiene RMPEKING y Empresa_Operadora__c; conserva BMW_Compania__c,Códigos RMBAVARIAN/RMOTOBAI/RMPEKING y valores Bavarian/Otobai,WorkOrder; Opportunity; Empresa__c; RecordType; territorio; CurrencyIsoCode,SIN CAMBIO TÉCNICO,PEKING tiene ruta explícita y el lookup Empresa se asigna; no se observó else hacia Bavarian,Ninguna sin decisión para externalizar códigos ERP,Crear oportunidad desde WO para las 3 empresas,Video y campos Empresa/compañía/moneda/RecordType resultantes,Alto,Confirmar mapeo oficial empresa↔Record Type/territorio,Diego/Negocio,P1,Existe; definición activa Opportunity_Flow_From_Work_Order v15,15,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opportunity_Flow_From_Work_Order; ActiveVersion=15; Status=Active",Sin cambio técnico: PEKING tiene ruta explícita y el lookup Empresa se asigna; no se observó else hacia Bavarian,No modificar; ejecutar únicamente regresión/evidencia.
F07,Flow,PlanDeMantenimientoV2,Documento §4,Existe: force-app/main/default/flows/PlanDeMantenimientoV2.flow-meta.xml,Existe; activa v24; deploy 0AfAK0000010R1F0AU y consulta de definición activa 2026-08-13,Activo,Resolución dinámica implementada: Empresa_Operadora__c principal; fallback controlado; PricebookEntry por Pricebook resuelto y activo,Sin IDs o nombres fijos de Pricebook; fallback limitado a Bavarian/Otobai,EmpresaPricebookResolver; Empresa__c; Opportunity.Empresa_Operadora__c; Quote; QuoteLineItem; WarrantyTerm; PricebookEntry; Product2,MODIFICAR,N1 técnico resuelto; seis Quotes QA PEKING sin líneas; no existe Quote PEKING con QLI Vehiculo ni producto de vehículo en PEKING Local; término PEKING no definido,Ejecutada en Lote 2A; completar datos funcionales oficiales antes de QA,Planes para Bavarian/Otobai/PEKING; QLI Vehiculo; término WarrantyTerm en años; estados ERROR/NO_CONFIGURADO/SELECCION_REQUERIDA; producto sin PBE,"Consultas read-only 2026-08-13: PT-00080231 a PT-00080236 con cero QLI; cero QLI PEKING; Asset QA sin Product2Id; PEKING Local solo SAD001/SUB; 13 WarrantyTerm activos en Years sin relación Empresa/Pricebook; dry-run 0AfAK0000010Qzd0AE; deploy 0AfAK0000010R1F0AU",Medio,BLOQUEO DE NEGOCIO: falta vehículo/producto con PBE en PEKING Local y definición de término/tipo de plan PEKING,Negocio/QA,P0,Existe; definición activa PlanDeMantenimientoV2 v23,23,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=PlanDeMantenimientoV2; ActiveVersion=23; Status=Active",Sí; mitigado técnicamente en Partial,Confirmar producto/vehículo y término/tipo de plan PEKING; luego preparar QuoteLineItem funcional y ejecutar QA manual una sola vez
F08,Flow,Work_Order_from_Quote_Selective,Manual + mensajes Luis,Existe: force-app/main/default/flows/Work_Order_from_Quote_Selective.flow-meta.xml,Existe; activa v7; Tooling API Partial 2026-08-04,Activo,Bifurca por BMW_Compania__c entre Otobai y Bavarian; bloqueo depurado en Lote 2.1,RMBAVARIAN/RMOTOBAI; condición Otobai y ruta restante,Quote; Opportunity; WorkOrder; Bodega__c; PricebookEntry; CurrencyIsoCode; territorio,MODIFICAR,Empresa nueva puede caer en ruta no correspondiente,Resolver por Empresa_Operadora__c; bloquear empresa no configurada,Quote→WO selectivo para 3 empresas; bodega/territorio vacíos,Video y trazabilidad Quote/WO/WOLI,Alto,REQUIERE_NEGOCIO: N2 bodega/territorio/reserva/despacho/taller PEKING,Negocio,P0,Existe; definición activa Work_Order_from_Quote_Selective v7,7,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Work_Order_from_Quote_Selective; ActiveVersion=7; Status=Active",Sí: Bifurca por BMW_Compania__c entre Otobai y Bavarian,Sublote 2B después de respuesta N2
F09,Flow,Work_Order_from_Quote,Manual + mensajes Luis,Existe: force-app/main/default/flows/Work_Order_from_Quote.flow-meta.xml,Existe; activa v9; Tooling API Partial 2026-08-04,Activo,Patrón binario equivalente al Flow selectivo; bloqueo depurado en Lote 2.1,RMBAVARIAN/RMOTOBAI; else implícito,Quote; Opportunity; WorkOrder; Bodega__c; PricebookEntry; CurrencyIsoCode,MODIFICAR,No es escalable y arriesga compañía incorrecta,Usar Empresa_Operadora__c y configuración explícita,Quote→WO para 3 empresas y regresión Bavarian/Otobai,Video; campos de WO/WOLI y Pricebook,Alto,REQUIERE_NEGOCIO: N2 operación Quote→WO y despacho/taller PEKING,Negocio,P0,Existe; definición activa Work_Order_from_Quote v9,9,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Work_Order_from_Quote; ActiveVersion=9; Status=Active",Sí: Patrón binario equivalente al Flow selectivo,Sublote 2B después de respuesta N2
F10,Flow,SegregateWOLIs,Manual + mensajes Luis,Existe: force-app/main/default/flows/SegregateWOLIs.flow-meta.xml,Existe; activa v51; Tooling API Partial 2026-08-04,Activo,Segregación contiene garantía Otobai y filtro de Record Type fijo; Luis confirmó resolver Record Type por DeveloperName,RecordTypeId 0124U00000111E8QAI; RMOTOBAI; Garant_a_Otobai__c,WorkOrderLineItem; Cargo; SyncSoftlandFlag__c; RecordType,MODIFICAR,El Id dependiente de org ya puede sustituirse técnicamente; la política PEKING de garantía y segregación sigue sin definición,Resolver Record Type por DeveloperName; implementar comportamiento PEKING solo después de N3,Resolución de Record Type por DeveloperName; segregación por tipo/empresa; garantías; Softland,Prueba técnica sin Id fijo y video funcional de WOLI/Cargos después de N3,Alto,REQUIERE_NEGOCIO: N3 garantía/segregación; decisión de Record Type resuelta,Negocio,P0,Existe; definición activa SegregateWOLIs v51,51,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=SegregateWOLIs; ActiveVersion=51; Status=Active",Sí: garantía sigue bloqueada; Record Type ya tiene solución confirmada,Sublote 2C técnico para DeveloperName; comportamiento PEKING después de N3
