"Mecanismo","Tipo_Metadata","API_Name","Registro","Existe_Git","Existe_Partial","Consumidor","Funcion","Origen_Empresa","Contexto_ERP","Controla_Endpoint","Controla_Pricebook","Controla_Moneda","Controla_Mapping","Tratamiento_Bavarian","Tratamiento_Otobai","Tratamiento_PEKING","Hardcode_Legacy","Clasificacion","Cambio_Potencial","Bloqueo","Evidencia","Notas"
"Contexto de Empresa","CustomObject","Empresa__c","RMPEKING","SI","SI","EmpresaResolver; EmpresaPricebookResolver; consumidores Softland refactorizados","Fuente primaria de Empresa y código ERP","Lookup Empresa_Operadora__c / Empresa__c","Codigo_ERP__c","NO","NO","NO","SI","RMBAVARIAN configurado","RMOTOBAI configurado","RMPEKING activo y configurado","NO","SIN_CAMBIO_REQUIERE_REGRESION","Ninguno en bloque 11; regresión de resolución","Datos legales no se evaluaron","EmpresaResolver.cls; consulta Partial 2026-08-06","No se documentan Id ni datos legales."
"Resolver de Empresa","ApexClass","EmpresaResolver","N/A","SI","NO_VERIFICADO","QuoteSoftlandPedidoService y otros consumidores dirigidos","Valida Empresa activa y expone código ERP","Id Empresa o Codigo__c","requireCodigoErp()","NO","NO","NO","NO","Dinámico por registro","Dinámico por registro","Dinámico por registro RMPEKING","NO","SIN_CAMBIO_REQUIERE_REGRESION","Ninguno; extender adopción en consumidores pertenece a evaluación separada","Consumidores legacy no lo usan todavía","EmpresaResolver.cls; EmpresaContext.cls","Falla de forma controlada ante Empresa ausente/inactiva/incompleta."
"Relación Empresa–Pricebook","CustomField","Pricebook2.Empresa__c","PEKING Local; PEKING Dólares","SI","SI","EmpresaPricebookResolver","Asocia Pricebook activo a Empresa","Pricebook2.Empresa__c","Heredado de Empresa","NO","SI","SI","SI","Dinámico","Dinámico","Dos Pricebooks activos asociados a RMPEKING","NO","SIN_CAMBIO_REQUIERE_REGRESION","Ninguno técnico; QA de selección","Default comercial no definido","Pricebook2.Empresa__c; consulta Partial 2026-08-06","No se consultaron PricebookEntry."
"Resolver dinámico de Pricebook","ApexClass","EmpresaPricebookResolver","N/A","SI","NO_VERIFICADO","Flows y servicios refactorizados de Empresa","Resuelve por Empresa, moneda y estado; no por nombre/Id","Empresa Id; fallback legacy solo Bavarian/Otobai","Codigo_ERP__c","NO","SI","SI","SI","Fallback BAVARIAN→RMBAVARIAN","Fallback OTOBAI→RMOTOBAI","Requiere Empresa explícita; selección dinámica","Fallback controlado","SIN_CAMBIO_REQUIERE_REGRESION","Ninguno","Selección funcional si hay varias opciones","EmpresaPricebookResolver.cls; RESULTADO_LOTE1_DEPENDENCIAS_EMPRESA.md","Estados EXITO/NO_CONFIGURADO/SELECCION_REQUERIDA/ERROR."
"Default global VN","CustomMetadata","RM_Config__mdt","Default_Price_List_VN","NO","SI","RM_VN_Service; RM_VN_CambiarVehiculo_Ctrl","Devuelve un único nombre global de Pricebook VN","Ninguno","Ninguno","NO","SI_POR_NOMBRE","NO","NO","Valor global legacy","Mismo valor global","Sin mapping por Empresa","Nombre fijo configurable pero global","BLOQUEADO_DATO_NEGOCIO","Definir si se retira como default o se sustituye por mapping Empresa+moneda","Regla comercial de default cuando no hay selección explícita","RM_Config__mdt.getInstance; consulta Partial 2026-08-06","Valor existente verificado, no se replica en este documento."
"Consumidores del default VN","ApexClass","RM_VN_Service; RM_VN_CambiarVehiculo_Ctrl","N/A","SI","NO_VERIFICADO","Inventario y cambio de vehículo VN","Consulta Pricebook/PricebookEntry por nombre global","No usa Empresa para el default","Ninguno","NO","SI_POR_NOMBRE","USD fijo en consultas relevantes","NO","Nombre global","Nombre global","No resuelto","SI","HARDCODE_LEGACY_REQUIERE_EVALUACION","Migrar a EmpresaPricebookResolver en un frente técnico separado","Puede absorber comportamiento de Sprint 1 y requiere regresión","RM_VN_Service.cls; RM_VN_CambiarVehiculo_Ctrl.cls","No crear Pricebook ni PricebookEntry en Sprint 3."
"Endpoint y autenticación compartidos","CustomLabel","URLSoftland; AmbienteSoftland; ClientIdSoftland; ClientSecretSoftland","Configuración sensible existente — valor omitido","NO","SI","RM_SoftlandClient; HttpCalloutAuth; múltiples consumidores","Base URL, ambiente y autenticación de la instancia existente","No usa Empresa","Ninguno","SI","NO","NO","NO","Mismo endpoint","Mismo endpoint","Misma instancia/endpoints confirmados","NO","SIN_CAMBIO_REQUIERE_REGRESION","Ninguno; no crear nueva instancia","Valores protegidos no deben inferirse ni copiarse","Referencias Label.* en Apex; existencia de cuatro labels confirmada en Partial 2026-08-06","No se consultaron ni documentaron valores. No hay Named Credential Softland referenciada."
"Cliente Softland compartido","ApexClass","RM_SoftlandClient; HttpCalloutAuth","N/A","SI","NO_VERIFICADO","Consumidores de callout","Autentica y construye endpoint desde labels","Empresa la aporta el consumidor/payload","No controla","SI","NO","NO","NO","Compartido","Compartido","Compartido; sin rama específica","NO","SIN_CAMBIO_REQUIERE_REGRESION","Ninguno para endpoints","Adopción desigual entre consumidores","RM_SoftlandClient.cls; HttpCalloutAuth.cls","Credenciales omitidas."
"Catálogos parametrizados por compañía","ApexClass","BatchGetCatalogoSoftland; HttpCalloutBodega; HttpCalloutAseguradora; HttpCalloutActividadComercial","Bodega; Aseguradora; ActividadComercial","SI","NO_VERIFICADO","Schedulers de catálogos","Pasa company al endpoint de catálogo","Parámetro String company","Parámetro company","SI","NO","NO","SI","RMBAVARIAN desde scheduler","RMOTOBAI desde scheduler","Método soporta RMPEKING pero scheduler no lo envía","Schedulers binarios","HARDCODE_LEGACY_REQUIERE_EVALUACION","Evaluar en Sprint 1/operación antes de incluir RMPEKING","Datos operativos y ejecución programada","BatchGetCatalogoSoftland.cls; HttpCallout*.cls; ScheduleGet*.cls","La capacidad técnica del método no demuestra autorización para cargar catálogos."
"Catálogos fijados a Bavarian","ApexClass","BatchGetCatalogoSoftland","CategoriaCliente; CentroCosto; CondicionPago; CuentaContable; Impuesto; SubtipoDocumento","SI","NO_VERIFICADO","Seis batches/schedulers de catálogo","Construye query con compania=RMBAVARIAN","No usa Empresa","RMBAVARIAN literal","SI","NO","NO","SI","RMBAVARIAN fijo","No soportado","No soportado","SI","HARDCODE_LEGACY_REQUIERE_EVALUACION","Separar refactor histórico de configuración de bloque 11","Mapping/datos oficiales y regresión de catálogos","BatchGetCatalogoSoftland.cls métodos calloutCategoriaCliente/ CentroCosto/ CondicionPago/ CuentaContable/ Impuesto/ SubtipoDocumento","No es un ajuste aislado de Custom Metadata."
