"Tipo_Metadata","Objeto","Componente_API","Encontrado_Partial","Encontrado_Git","Incluido_S3_0","Motivo_Inclusion","Motivo_Exclusion","Referencia_Empresa_Marca","Estado_Activo","Aplica_PEKING","Exclusivo_Usados","Evidencia","Nivel_Confianza","Notas"
"Layout","Account","Account-Account Layout","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, RecordType","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-Account Layout.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-BMW Aseguradora - RO","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","Garant_a_de_activo__c, RecordType, RecordTypeId, marca__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-BMW Aseguradora - RO.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-BMW Aseguradora Formato Página Cuenta","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","Garant_a_de_activo__c, RecordType, RecordTypeId, marca__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-BMW Aseguradora Formato Página Cuenta.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-BMW Cuenta Empresarial  V2","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Garant_a_Original__c, Garant_a_de_activo__c, RecordType, RecordTypeId, marca__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-BMW Cuenta Empresarial  V2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-BMW Cuenta Empresarial - RO","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Garant_a_Original__c, Garant_a_de_activo__c, RecordType, RecordTypeId, marca__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-BMW Cuenta Empresarial - RO.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-BMW Cuenta Empresarial","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Garant_a_Original__c, Garant_a_de_activo__c, RecordType, RecordTypeId, marca__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-BMW Cuenta Empresarial.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-Cuenta Altica Empresarial","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-Cuenta Altica Empresarial.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-Cuenta Empresarial Sin Botones","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Garant_a_Original__c, Garant_a_de_activo__c, RecordType, RecordTypeId, marca__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-Cuenta Empresarial Sin Botones.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-RM Asesor Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-RM Asesor Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-RM Asistente Taller - RO","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-RM Asistente Taller - RO.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
