Bloque,Requerimiento,Estado técnico,Estado funcional,Evidencia,Pendiente posterior,¿Bloquea cierre Sprint 3?
B7,Reutilizar Opportunity_Record_Page_VN para Omoda/Jaecoo,CERRADO_TECNICAMENTE,REUTILIZACION_CONFIRMADA,"Confirmación funcional de reutilización; patrón Bavarian de asignación App/Profile/Record Type disponible","Definir aplicaciones y perfiles funcionales productivos",No
B7,Permisos para Record Types Omoda/Jaecoo,CERRADO_TECNICAMENTE,QA_HABILITADO,"Permission Set temporal existente y validado para QA","Definir perfiles y usuarios productivos; no promover el Permission Set QA",No
B9,Estructura Director/Gerente/Jefe,CERRADO_TECNICAMENTE,DATO_FINAL_PENDIENTE_NO_BLOQUEANTE,"Estructura configurable de responsables por Sucursal/Empresa preparada","Incorporar responsables definitivos y ejecutar E2E dependiente de ellos",No
B9,Centros de costo y aprobador dinámico,CERRADO_TECNICAMENTE,DATO_FINAL_PENDIENTE_NO_BLOQUEANTE,"Mecanismo compartido y resolución dinámica de aprobador disponibles","Cargar códigos y aprobadores oficiales",No
B9,Approval Processes de descuento,CERRADO_TECNICAMENTE,QA_FINAL_DIFERIDO,"Procesos neutrales a marca y aprobadores dinámicos reconciliados","Ejecutar E2E final con responsables y datos reales",No
B9,Validation Rules,CERRADO_TECNICAMENTE,QA_FUNCIONAL_COMPLETADO,"QA funcional aplicable completado","Ninguno para el cierre; conservar regresión normal",No
B11,Bodegas configurables por Empresa,CERRADO_TECNICAMENTE,DATO_FINAL_PENDIENTE_NO_BLOQUEANTE,"Patrón de integración y segregación por Empresa resuelto","Incorporar códigos y bodegas oficiales; retirar o sustituir datos temporales",No
B11,Catálogos e integración Softland,CERRADO_TECNICAMENTE,VALIDACION_REAL_DIFERIDA,"Endpoints e instancia compartidos confirmados; procesos PEKING compatibles; mocks y pruebas técnicas validados","Validar contenido oficial y llamadas reales en ejecución controlada",No
B11,Pricebook default por Empresa y moneda,CERRADO_TECNICAMENTE,BASELINE_PROVISIONAL_AUTORIZADO,"Baseline Bavarian: VN/USD resuelve PEKING Dólares; CRC resuelve PEKING Local","Incorporar regla comercial productiva posterior si difiere del baseline",No
SPRINT_2_CONGELADO,N3 Garantías PEKING / SegregateWOLIs,FUERA_DE_ALCANCE_SPRINT3,PENDIENTE_FUNCIONAL_SPRINT2,"No existe equivalente Bavarian real","Esperar definición funcional de garantía PEKING",No
SPRINT_2_CONGELADO,N4 Service Territories / taller / agenda / enrutamiento,FUERA_DE_ALCANCE_SPRINT3,PENDIENTE_FUNCIONAL_SPRINT2,"No existe equivalencia Bavarian suficiente ni relación Empresa-Service Territory definida","Esperar territorios oficiales y relación estructural con Empresa",No
