"Tipo","API_Name","Objeto","Estado_Git","Estado_Partial","Asignacion_Actual","Referencia_RecordType","Referencia_Profile","Aplica_PEKING","Clasificacion","Motivo","Dependencia","Cambio_Potencial","Regresion_Requerida","Evidencia","Notas"
"Layout","Opportunity-BMW Opportunity Layout","Opportunity","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de matriz de asignaciones","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-001; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"Layout","Account-BMW Cuenta Empresarial  V2","Account","NO_EXISTE","EXISTE","60 asignaciones demostradas; ProfileLayout=60","Aseguradora, Distribuidor","Administrador de Sistema, Asesor de Ventas BMW y Nuevos V2, Asesor de Ventas BMW y Nuevos V2 A1, Asesor de Ventas Kawa - Polaris y Nuevos V2, Asesor de Ventas Kawa - Polaris y Nuevos V2 A1, Asesor de Ventas MINI y Nuevos V2, Asesor de Ventas MINI y Nuevos V2 A1, Asesor de Ventas Motorrad y Nuevos V2 …","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-002; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 60 filas, 60 asignadas","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv Perfiles observados: 31; no equivalen a decisión funcional PEKING."
"Layout","Product2-VehiculosParaV2","Product2","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de matriz de asignaciones","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-003; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"Layout","Product2-Product Layout V1.1","Product2","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de matriz de asignaciones","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-004; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","Existencia no demuestra asignación activa. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv Duplicado semántico fusionado: Product2-Product Layout V1%2E1; misma metadata que Product2-Product Layout V1.1 por codificación %2E/punto."
"FlexiPage","Opportunity_Record_Page_VN","Opportunity","EXISTE","EXISTE","1200 asignaciones demostradas; APP_PROFILE_RECORDTYPE=1200","Autos_Usados, BMW, Cartera_Madura, Harley_Davidson, Indian, KTM, Kawasaki, MINI, Motorrad, Motos_Usados, Polaris","API Only, API Only Altica, Acceso de MINI - BMW, Actualización Clientes Perfil, Admin, Admin Taller, Admin Vh V2, Admin Vh V2 A1 …","POR_DETERMINAR","DRIFT_REQUIERE_CONCILIACION","Git y Partial difieren materialmente: Partial contiene Opportunity.Plan_del_cliente_save_PDF; además no hay activación Omoda/Jaecoo demostrada.","Conciliación Git–Partial y activación por aplicación/perfil/RecordType","Conciliar el drift en un lote previo separado; no modificar en B7-0.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-FLX-001; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1200 filas, 1200 asignadas","Partial contiene una Quick Action adicional frente a Git. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"FlexiPage","Quote_Record_Page_VN","Quote","NO_EXISTE","EXISTE","316 asignaciones demostradas; APP_PROFILE_RECORDTYPE=316","Nuevos","Admin, Administrador de Sistema, Administrador del sistema - Custom, Asesor de Ventas BMW, Asesor de Ventas BMW y Nuevos V2, Asesor de Ventas BMW y Nuevos V2 A1, Asesor de Ventas Kawa - Polaris y Nuevos V2, Asesor de Ventas Kawa - Polaris y Nuevos V2 A1 …","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-FLX-002; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 316 filas, 316 asignadas","Visibilidad existente contempla segmentos legacy; modelo Quote PEKING no confirmado. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv Perfiles observados: 76; no equivalen a decisión funcional PEKING."
"FlexiPage","Quote_Record_Page_VU","Quote","NO_EXISTE","EXISTE","14 asignaciones demostradas; APP_PROFILE_RECORDTYPE=14","Sin referencia nominal en visibilidad","Admin, Administrador del sistema - Custom, Asesor Ventas Autos Usados, Asesor de Ventas Multimarca Motos con Usados, Asistente de Usados, Jefe de Ventas Usados Autos, Jefe de Ventas Usados Motos","NO","NO_APLICA","Evidencia explícita de página exclusiva de vehículos usados; PEKING no aplica a usados.","Asignación por aplicación/perfil/RecordType","Ninguno para PEKING; conservar regresión.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-FLX-003; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 14 filas, 14 asignadas","Página VU separada; PEKING no aplica a usados. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv Obligación separada: REQUIERE_REGRESION; no implica aplicabilidad funcional PEKING."
"FlexiPage","Estadisticas_Inventario_Usados","","NO_EXISTE","EXISTE","Sin asignación demostrada","Sin referencia nominal en visibilidad","Sin perfil demostrado","NO","NO_APLICA","Evidencia explícita de página exclusiva de vehículos usados; PEKING no aplica a usados.","Asignación por aplicación/perfil/RecordType","Ninguno para PEKING; conservar regresión.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-FLX-004; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 0 filas, 0 asignadas","App Page exclusiva de usados. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv Obligación separada: REQUIERE_REGRESION; no implica aplicabilidad funcional PEKING."
"FlexiPage","Ver_Inventario_Vehiculos_Usados","","NO_EXISTE","EXISTE","Sin asignación demostrada","Sin referencia nominal en visibilidad","Sin perfil demostrado","NO","NO_APLICA","Evidencia explícita de página exclusiva de vehículos usados; PEKING no aplica a usados.","Asignación por aplicación/perfil/RecordType","Ninguno para PEKING; conservar regresión.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-FLX-005; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 0 filas, 0 asignadas","App Page exclusiva de usados. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv Obligación separada: REQUIERE_REGRESION; no implica aplicabilidad funcional PEKING."
"QuickAction","BMW_EnviarCorreoPresupuesto","","NO_EXISTE","EXISTE","2 asignaciones demostradas; REFERENCIA_FlexiPage=1, REFERENCIA_PageLayout=1","Pendiente de exposición en layout/página","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Layout/FlexiPage de exposición y proceso objetivo","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-QA-001; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 2 filas, 2 asignadas","No se modificó la acción ni su Flow/Visualforce. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
