"id","ruta","tipo","tamano_bytes","tamano_kib","categoria","utilidad_probable","proyecto_subproyecto","clasificacion","justificacion","equivalencia_actual","sensibilidad"
"1","AGENTS.md","Markdown","4030","3.94","CONFIGURACION","Reglas antiguas de trabajo y seguridad","RedMotors general / VN-RQ106","SUPERADO_POR_VERSION_ACTUAL","El repositorio activo contiene reglas vigentes y autoritativas","Sin equivalente en la rama VN; superado por configuración activa","Sí: identificadores y términos de seguridad"
"2","docs/VN-RQ106/CONTEXTO_CODEX_VN_RQ106.md","Markdown","5407","5.28","CONTEXTO","Resumen operativo compacto de pantallas, permisos, QA y pendientes","VN-RQ106","CONSERVAR_FUERA_DE_GIT","No existe equivalente completo; conviene preservar y luego sanitizar","Cobertura aproximada de 75.5% en documentos actuales","Sí: correo, identificadores y términos internos"
"3","docs/VN-RQ106/CONTINUAR_MANANA_20260611.md","Markdown","16823","16.43","CONTEXTO","Handoff histórico con validaciones, despliegues y punto de retoma","VN-RQ106 / cierre QA","REQUIERE_REVISION","La mayor parte está consolidada, pero puede contener detalle histórico único","Cobertura aproximada de 82.0% en documentos actuales","Sí: identificadores"
"4","docs/VN-RQ106/VN-RQ106 - Entrega Técnica Salesforce - BORRADOR.docx","DOCX","36490","35.63","DOCUMENTACION","Borrador de plantilla de entrega técnica","VN-RQ106 / entrega","SUPERADO_POR_VERSION_ACTUAL","Sus 16 secciones coinciden con la estructura del entregable oficial posterior","Entregable oficial actual versionado y respaldado en Drive","Sí: identificadores"
"5","docs/VN-RQ106/VN-RQ106-Entrega-Tecnica-Final.docx","DOCX","17143","16.74","DOCUMENTACION","Informe interno de alcance, hotfixes, QA y pendientes","VN-RQ106 / entrega interna","CONSERVAR_FUERA_DE_GIT","Narrativa distinta sin equivalente completo; preservar hasta revisión/redacción","Temas mayormente cubiertos por Markdown actuales","Sí: correo, identificadores y términos potencialmente sensibles"
"6","docs/VN-RQ106/backup_vn_rq106_20260610.patch","PATCH","100019","97.67","PATCH_DIFF","Respaldo histórico de cambios","VN-RQ106 / desarrollo","SUPERADO_POR_VERSION_ACTUAL","14 rutas presentes y 98.08% de líneas agregadas ya están en HEAD","Rama remota contiene estado consolidado","Sí: correo e identificadores"
"7","docs/VN-RQ106/qa/Template_QA_Equipo-RedMotors_VN-RQ106_CL_ONLY_REVIEW_20260613.xlsx","XLSX","223582","218.34","QA","Libro QA de revisión limitada","VN-RQ106 / QA","REQUIERE_REVISION","Solo una celda difiere frente a la versión (2) de Drive","99.83% de cobertura mutua con Drive (2)","Sí: identificadores, URLs y metadatos de autor"
"8","docs/VN-RQ106/qa/Template_QA_Equipo-RedMotors_VN-RQ106_LOCAL_REVIEW_20260613.xlsx","XLSX","225976","220.68","QA","Libro QA con anotaciones locales en nueve hojas","VN-RQ106 / QA","CONSERVAR_FUERA_DE_GIT","Contiene numerosas celdas locales no cubiertas por Drive","Aproximadamente 90.7% cubierto por las versiones de Drive","Sí: identificadores, URLs y metadatos de autor"
"9","docs/VN-RQ106/redm-mail-template.html","HTML","36738","35.88","CODIGO","Plantilla HTML de notificaciones","VN-RQ106 / notificaciones","CONSERVAR_FUERA_DE_GIT","Artefacto técnico único sin equivalente por nombre; requiere sanitización","No se encontró equivalente en HEAD","Sí: identificadores y URLs"
"10","tmp/SolicitudAprobacionTesoreria_LOCAL_MOCK_BACKUP.cls","Apex","3832","3.74","BACKUP_TECNICO","Variante local/mock de clase sensible","VN-RQ106 / integración","REQUIERE_REVISION","Código único, pero no se demostró utilidad para la versión vigente","14.87% de similitud con la clase actual","Sí: identificadores"
"11","tmp/SolicitudAprobacionTesoreria_SANDBOX.cls","Apex","9904","9.67","BACKUP_TECNICO","Snapshot de clase en Sandbox","VN-RQ106 / integración","SUPERADO_POR_VERSION_ACTUAL","Instantánea anterior muy cercana a la clase vigente","98.03% de similitud con la clase actual","Sí: identificadores y URLs"
"12","tmp/VN_RQ106_Notificaciones_Anticipo_before_luis_emails.flow-meta.xml","Flow XML","28659","27.99","BACKUP_TECNICO","Snapshot anterior a cambios de correos","VN-RQ106 / notificaciones","SUPERADO_POR_VERSION_ACTUAL","El nombre y la comparación indican una versión anterior al flow consolidado","Flow actual versionado en la rama remota","Sí: correo, identificadores y URLs"
"13","tmp/diff_before_luis_emails.patch","PATCH","17763","17.35","PATCH_DIFF","Diferencias previas a cambios de correos","VN-RQ106 / notificaciones","SUPERADO_POR_VERSION_ACTUAL","100% de líneas agregadas están en HEAD; además tiene duplicado exacto","Duplicado exacto de diff_fixes_before_luis_emails.patch","Sí: identificadores y URLs"
"14","tmp/diff_docs_flow_pause_20260612.patch","PATCH","10524","10.28","PATCH_DIFF","Pausa documental y flow","VN-RQ106 / documentación","SUPERADO_POR_VERSION_ACTUAL","94.74% de líneas agregadas están en HEAD y hay documentación posterior","Estado consolidado en rama remota","Sí: correo e identificadores"
"15","tmp/diff_files_pause_20260612.txt","TXT","326","0.32","PATCH_DIFF","Lista histórica de archivos distintos","VN-RQ106 / control","RECONSTRUIBLE","El estado puede reconstruirse desde el historial y documentos actuales","Sin valor autónomo actual","No detectada"
"16","tmp/diff_fixes_before_luis_emails.patch","PATCH","17763","17.35","PATCH_DIFF","Diferencias previas a cambios de correos","VN-RQ106 / notificaciones","SUPERADO_POR_VERSION_ACTUAL","100% de líneas agregadas están en HEAD; duplicado exacto","Duplicado exacto de diff_before_luis_emails.patch","Sí: identificadores y URLs"
"17","tmp/diff_hotfixes_and_dotscontacto_before_luis_flow.patch","PATCH","445243","434.81","PATCH_DIFF","Respaldo de hotfixes y cambios de contacto","VN-RQ106 / hotfix","SUPERADO_POR_VERSION_ACTUAL","99.94% de líneas agregadas ya están en HEAD","Estado consolidado en rama remota","Sí: correo, identificadores y URLs"
"18","tmp/diff_stat_after_hotfixes_before_luis_flow.txt","TXT","349","0.34","PATCH_DIFF","Estadística histórica de diferencias","VN-RQ106 / control","RECONSTRUIBLE","Puede reconstruirse desde el historial","Sin valor autónomo actual","No detectada"
"19","tmp/full_diff_pause_20260612.patch","PATCH","22470","21.94","PATCH_DIFF","Diferencia completa al pausar","VN-RQ106 / desarrollo","SUPERADO_POR_VERSION_ACTUAL","97.78% de líneas agregadas están en HEAD y existe cierre posterior","Estado consolidado en rama remota","Sí: correo e identificadores"
"20","tmp/rafael_anticipo_error.log","LOG","154585","150.96","LOG","Depuración con señal de error y callout","VN-RQ106 / QA-depuración","REQUIERE_REVISION","Conservar temporalmente para resumen sanitizado; no subir raw","No existe equivalente necesario en Git","Sí: identificadores, URLs y términos potencialmente secretos"
"21","tmp/status_after_hotfixes_before_luis_flow.txt","TXT","1206","1.18","PATCH_DIFF","Estado histórico del repositorio","VN-RQ106 / control","RECONSTRUIBLE","El estado actual e historial lo sustituyen","Reconstruible desde control de versiones","No detectada"
"22","tmp/status_before_luis_emails.txt","TXT","805","0.79","PATCH_DIFF","Estado histórico antes de correos","VN-RQ106 / control","RECONSTRUIBLE","El estado actual e historial lo sustituyen","Reconstruible desde control de versiones","No detectada"
"23","tmp/status_pause_20260612.txt","TXT","763","0.75","PATCH_DIFF","Estado histórico de pausa","VN-RQ106 / control","RECONSTRUIBLE","El estado actual e historial lo sustituyen","Reconstruible desde control de versiones","No detectada"
"24","tmp/validate_softland_endpoint.apex","Apex anónimo","71","0.07","CODIGO","Script mínimo de validación de integración","VN-RQ106 / integración","RECONSTRUIBLE","No debe ejecutarse ni versionarse; se puede recrear si fuera autorizado","Sin equivalente necesario en Git","Potencialmente sensible por función, aunque no se detectaron valores"
