Area,Documento,RutaRelativa,Tipo,Audiencia,EstadoVigencia,Clasificacion,OrdenPrecedencia,DocumentoSustituido,DocumentoSustituto,UsoPermitido,Restriccion,Evidencia,FechaUltimaValidacion
Gobierno,AGENTS.md,AGENTS.md,Reglas de agentes IA,Interno: agentes de IA,VIGENTE,AUTORITATIVO_VIGENTE,0,,,Leer al iniciar cualquier sesion,No modificar en esta etapa (prohibicion explicita),Contenido verificado en Etapa 2 y 3; sin cambios detectados,2026-08-05
Gobierno,CLAUDE.md,CLAUDE.md,Flujo de trabajo Git/rama,Interno: agentes de IA,VIGENTE,AUTORITATIVO_VIGENTE,0,,,Leer al iniciar cualquier sesion,No modificar en esta etapa (prohibicion explicita),Contenido verificado en Etapa 2 y 3; sin cambios detectados,2026-08-05
Gobierno / Alcance,REGLAS_ALCANCE_AUTORIZADO.md,docs\empresa-marcas-chinas\REGLAS_ALCANCE_AUTORIZADO.md,Reglas de alcance y tabla-puerta,Interno: agentes de IA y equipo tecnico,VIGENTE - maxima autoridad escrita,AUTORITATIVO_VIGENTE,1,,,Leer antes de tocar cualquier componente,No modificar en esta etapa (prohibicion explicita),Contenido verificado; define orden de autoridad entre fuentes,2026-08-05
Gobierno / Alcance,README_CONTEXTO_ACTIVO.md,docs\empresa-marcas-chinas\README_CONTEXTO_ACTIVO.md,Punto de entrada de contexto,Interno: cualquier agente o persona que inicie trabajo,"VIGENTE, actualizado en esta Etapa 3",AUTORITATIVO_VIGENTE,1,,,Leer al iniciar cualquier sesion; enlaza al indice maestro,Actualizar solo cuando la lectura actual confirme que corresponde,"Actualizado en Etapa 3 para enlazar INDICE_MAESTRO_AUDITORIA.md, incluir TD-RQ308 y Sprint 3 vigente",2026-08-05
Gobierno / Alcance,INDICE_MAESTRO_AUDITORIA.md,docs\empresa-marcas-chinas\auditoria\INDICE_MAESTRO_AUDITORIA.md,Indice maestro versionado,Interno: agentes de IA y equipo tecnico,VIGENTE - creado en esta Etapa 3,AUTORITATIVO_VIGENTE,1,,,Consultar para estado vigente sin abrir inventarios completos,Mantener actualizado segun procedimiento de su seccion 14,Creado en esta etapa; autocontenido,2026-08-05
RQ308 / Alcance,DEV_Evaluacion_Alcance_Actualizada_20260805.docx,docs\empresa-marcas-chinas\DEV_Evaluacion_Alcance_Actualizada_20260805.docx,Documento de alcance actualizado (fuente principal),"Interno, derivado de Red Motors",VIGENTE - fuente principal de alcance,AUTORITATIVO_VIGENTE,2,DEV Evaluación - Alcance - Inclusión de nueva Empresa- Marchas chinas Redmotors.docx.pdf,,Base de alcance para Sprint 3 y validaciones de Sprint 1/2,No modificar; documento original DOCX,Extraccion de texto confirma tabla consolidada Sprint 1-14,2026-08-05
RQ308 / Alcance,TD-RQ308_Diferencias_Alcance_Entrega_Oficial.docx,docs\empresa-marcas-chinas\TD-RQ308_Diferencias_Alcance_Entrega_Oficial.docx,Documento oficial para Red Motors,EXTERNO: Red Motors,APROBADO en general por Luis (2026-08-05); envio a Diego/Maria no confirmado,AUTORITATIVO_VIGENTE,2,,,Entregable oficial de diferencias de alcance RQ308,No modificar; documento original DOCX,"CONTEXTO_RQ308_Y_AUTORIZACION_SPRINT3_20260805.md seccion 5, cita textual de Luis",2026-08-05
RQ308 / Alcance,CONTEXTO_RQ308_Y_AUTORIZACION_SPRINT3_20260805.md,docs\empresa-marcas-chinas\CONTEXTO_RQ308_Y_AUTORIZACION_SPRINT3_20260805.md,Contexto y autorizacion,Interno / equipo tecnico,VIGENTE,AUTORITATIVO_VIGENTE,2,,,Documento principal de contexto RQ308/Sprint 3,Ninguna especial,"Contiene cita textual de autorizacion de Sprint 3 de Luis, 2026-08-05",2026-08-05
RQ308 / Alcance,MATRIZ_DECISIONES_RQ308_SPRINT2_SPRINT3_20260805.md,docs\empresa-marcas-chinas\MATRIZ_DECISIONES_RQ308_SPRINT2_SPRINT3_20260805.md,Matriz de decisiones,Interno / equipo tecnico,VIGENTE,AUTORITATIVO_VIGENTE,2,,,Tabla resumen de decisiones y responsables,Ninguna especial,"Contenido verificado, fechado 2026-08-05",2026-08-05
RQ308 / Alcance,INCONSISTENCIAS_FUENTE_ACTUALIZADA_20260805.md,docs\empresa-marcas-chinas\INCONSISTENCIAS_FUENTE_ACTUALIZADA_20260805.md,Analisis interno de inconsistencias,Interno / equipo tecnico,VIGENTE,AUTORITATIVO_VIGENTE,2,,,Consultar antes de asumir cifras exactas de la fuente actualizada,Ninguna especial,"Documenta 6 inconsistencias (horas, conteo Apex, instancia Softland, etc.)",2026-08-05
Sprint 3,MATRIZ_ALCANCE_SPRINT3_CORREGIDA_20260805.csv,docs\empresa-marcas-chinas\MATRIZ_ALCANCE_SPRINT3_CORREGIDA_20260805.csv,"Matriz de alcance vigente (CSV, 44 filas)",Interno / equipo tecnico,"VIGENTE, requiere desglose nominal adicional",AUTORITATIVO_VIGENTE,2,MATRIZ_ALCANCE_SPRINT3_PRELIMINAR_20260805.csv,,Base de S3-0 (inventario y conciliacion de solo lectura),"Las 44 filas son de alcance, no de componente nominal (ver PENDIENTES_DESGLOSE_NOMINAL_S3_0)",Basada en fuente actualizada; esquema S3C-Bxx-xx verificado,2026-08-05
Sprint 3,PLAN_SPRINT3_CORREGIDO_20260805.md,docs\empresa-marcas-chinas\PLAN_SPRINT3_CORREGIDO_20260805.md,Plan corregido vigente,Interno / equipo tecnico + revision de Luis,"VIGENTE; Sprint 3 autorizado a CONTINUAR por instruccion posterior de Luis (2026-08-05), ver INDICE_MAESTRO_AUDITORIA.md seccion 7.3",AUTORITATIVO_VIGENTE,3,PLAN_INICIO_SPRINT3_20260805.md,,"Base vigente de Sprint 3, con las 5 preguntas de su seccion 12 como PENDIENTES, no como bloqueo total",No declarar los 5 puntos de la seccion 12 como respondidos sin evidencia,Seccion 12 solicita confirmaciones; instruccion posterior de Luis autoriza continuar de todas formas,2026-08-05
Sprint 3,LOTES_SPRINT3_CORREGIDOS_20260805.md,docs\empresa-marcas-chinas\LOTES_SPRINT3_CORREGIDOS_20260805.md,Lotes de ejecucion vigentes,Interno / equipo tecnico,"VIGENTE, S3-0 autorizado a iniciar",AUTORITATIVO_VIGENTE,3,LOTES_PROPUESTOS_SPRINT3_20260805.md,,Definicion de lotes S3-0 a S3-4 y sus condiciones,Ningun lote funcional (S3-1 en adelante) autorizado sin evidencia de S3-0,Contenido verificado; S3-0 es analisis de solo lectura,2026-08-05
Sprint 3,PENDIENTES_DESGLOSE_NOMINAL_S3_0_20260805.md,docs\empresa-marcas-chinas\PENDIENTES_DESGLOSE_NOMINAL_S3_0_20260805.md,Checklist de desglose nominal,Interno / equipo tecnico,"VIGENTE, complementario",AUTORITATIVO_VIGENTE,3,,,Checklist obligatorio al ejecutar S3-0,Ninguna especial,"Aclara que las 44 filas de la matriz corregida son grupos, no componentes nominales",2026-08-05
Sprint 3,RESUMEN_CORRECCION_SPRINT3_20260805.md,docs\empresa-marcas-chinas\RESUMEN_CORRECCION_SPRINT3_20260805.md,Resumen vigente de distribucion Sprint 1/2/3,Interno,VIGENTE,AUTORITATIVO_VIGENTE,3,RESUMEN_PREPARACION_SPRINT3_20260805.md,,Resumen de que bloques pertenecen a cada Sprint,Ninguna especial,Contenido verificado,2026-08-05
Sprint 3,PLAN_TRABAJO_SPRINT3_REVISION_LUIS_20260805.md / .docx,docs\empresa-marcas-chinas\PLAN_TRABAJO_SPRINT3_REVISION_LUIS_20260805.md,Plan de trabajo para revision de Luis (par .md/.docx),Externo: dirigido a Luis,"VIGENTE; instruccion de continuar ya recibida verbalmente, este documento formal puede estar superado en el detalle de flujo pero no en su contenido tecnico",AUTORITATIVO_VIGENTE,3,,,Version compartible del plan corregido,Confirmar con el usuario si ya fue enviado/respondido,"Contenido textual identico entre .md y .docx, verificado por extraccion",2026-08-05
Sprint 2,SPRINT2_FUENTES_AUTORITATIVAS.md,docs\empresa-marcas-chinas\SPRINT2_FUENTES_AUTORITATIVAS.md,Jerarquia de fuentes de Sprint 2,Interno,"VIGENTE (Sprint 2 pausado, no cerrado)",AUTORITATIVO_VIGENTE,3,,,Consultar para dudas de alcance de Sprint 2,Ninguna especial,Documenta 4 contradicciones internas de fuentes de Sprint 2,2026-08-05
Sprint 3,LOTES_PROPUESTOS_SPRINT3_20260805.md,docs\empresa-marcas-chinas\LOTES_PROPUESTOS_SPRINT3_20260805.md,Lotes preliminares (sustituidos),Interno,SUSTITUIDO (autodeclarado),PRELIMINAR_SUSTITUIDO,6,,LOTES_SPRINT3_CORREGIDOS_20260805.md,Solo trazabilidad historica,NO USAR PARA EJECUCION,Encabezado propio: 'ESTADO: SUSTITUIDO PARA EJECUCION',2026-08-05
Sprint 3,PLAN_INICIO_SPRINT3_20260805.md,docs\empresa-marcas-chinas\PLAN_INICIO_SPRINT3_20260805.md,Plan preliminar (sustituido),Interno,SUSTITUIDO (autodeclarado),PRELIMINAR_SUSTITUIDO,6,,PLAN_SPRINT3_CORREGIDO_20260805.md,Solo trazabilidad historica,NO USAR PARA EJECUCION,Encabezado propio: 'ESTADO: SUSTITUIDO PARA EJECUCION',2026-08-05
Sprint 3,RESUMEN_PREPARACION_SPRINT3_20260805.md,docs\empresa-marcas-chinas\RESUMEN_PREPARACION_SPRINT3_20260805.md,Resumen preliminar (sustituido),Interno,SUSTITUIDO (autodeclarado),PRELIMINAR_SUSTITUIDO,6,,RESUMEN_CORRECCION_SPRINT3_20260805.md,Solo trazabilidad historica,NO USAR PARA EJECUCION,Encabezado propio: 'ESTADO: SUSTITUIDO PARA EJECUCION',2026-08-05
Sprint 3,MATRIZ_ALCANCE_SPRINT3_PRELIMINAR_20260805.csv,docs\empresa-marcas-chinas\MATRIZ_ALCANCE_SPRINT3_PRELIMINAR_20260805.csv,"Matriz preliminar (sustituida, CSV 44 filas antiguas)",Interno,SUSTITUIDO,PRELIMINAR_SUSTITUIDO,6,,MATRIZ_ALCANCE_SPRINT3_CORREGIDA_20260805.csv,Solo trazabilidad historica,NO USAR PARA EJECUCION,Esquema de columnas distinto (S3-LYT-xx vs S3C-Bxx-xx); FUENTES_AUTORITATIVAS_EMPRESA_MARCAS_CHINAS.md confirma sustitucion,2026-08-05
RQ308 / Alcance,DEV Evaluación - Alcance - Inclusión de nueva Empresa- Marchas chinas Redmotors.docx.pdf,docs\empresa-marcas-chinas\DEV Evaluación - Alcance - Inclusión de nueva Empresa- Marchas chinas Redmotors.docx.pdf,Documento fuente original (PDF),EXTERNO: recibido de PortalNet/Red Motors,SUPERADO para asignacion de Sprint; vigente como evidencia tecnica rango 2,EVIDENCIA_HISTORICA,5,,DEV_Evaluacion_Alcance_Actualizada_20260805.docx,Evidencia tecnica de rango 2 para contenido no relacionado con asignacion de Sprint,No usar para reconstruir asignacion de Sprint,No contiene columna Sprint ni tabla consolidada (verificado por pdftotext),2026-08-05
