"id","tipo","ruta","tamano_mib_aprox","respaldo_comprobado","clasificacion","motivo","accion_futura_propuesta","riesgo"
"1","carpeta_principal","C:\Users\dokur\Documents","2980","MIXTO","REVISAR_MANUALMENTE","Contiene repositorios, evidencias y recuperación de archivos","Aplicar decisiones por subcarpeta; nunca borrar en bloque","ALTO"
"2","carpeta_principal","C:\Users\dokur\Downloads","1.8","PARCIAL","REVISAR_MANUALMENTE","Cuatro archivos; un DOCX respaldado en Drive y otros personales","Revisar archivo por archivo","MEDIO"
"3","carpeta_principal","C:\Users\dokur\Videos","0","NO_DETERMINADO","NO_TOCAR","Sin consumo material","Sin acción","BAJO"
"4","carpeta_principal","C:\Users\dokur\Pictures","0.02","NO_RESPALDADO","CONSERVAR_RESPALDO","Contiene icono RedMotors sin copia en repositorios","Respaldar antes de cualquier limpieza","MEDIO"
"5","nube","G:\Mi unidad","3488.8","DRIVE","NO_TOCAR_DRIVE","Unidad Google Drive confirmada","No modificar durante esta limpieza","ALTO"
"6","nube_proyecto","G:\Mi unidad\Proyecto VN-RQ106","1246.2","DRIVE","NO_TOCAR_DRIVE","Respaldo externo y material único de VN-RQ106","No modificar","ALTO"
"7","nube_proyecto","G:\Mi unidad\Marcas Chinas Sprint Agosto","121.13","DRIVE","NO_TOCAR_DRIVE","Evidencias y documentos activos de Sprint 3/4","No modificar","ALTO"
"8","nube","C:\Users\dokur\OneDrive","0_local","ONEDRIVE","NO_TOCAR","Carpeta sincronizada y Escritorio redirigido","No modificar","ALTO"
"9","aplicacion","C:\Users\dokur\.vscode","2712.7","RECONSTRUIBLE_PARCIAL","NO_TOCAR","Extensiones activas del editor","Revisar solo desde el administrador de extensiones en otra fase","ALTO"
"10","cache","C:\Users\dokur\.cache\codex-runtimes","1050.18","RECONSTRUIBLE","REVISAR_MANUALMENTE","Runtime visible potencialmente reconstruible pero puede estar en uso","Validar función y cerrar aplicaciones antes de decidir","MEDIO"
"11","aplicacion","C:\Users\dokur\.codex","1126.53","MIXTO","NO_TOCAR","Incluye plugins, sesiones, datos activos y temporales","No limpiar en bloque","ALTO"
"12","temporal_aplicacion","C:\Users\dokur\.codex\.tmp","130.45","NO_DETERMINADO","REVISAR_MANUALMENTE","Temporal visible de aplicación activa","Revisar con aplicación cerrada y autorización específica","MEDIO"
"13","aplicacion","C:\Users\dokur\.claude","63.27","NO_DETERMINADO","NO_TOCAR","Datos de aplicación, proyectos e historial","No modificar","ALTO"
